INDEX,UNIQUE_INDEX
12730,0
21712,40
10779,82
36953,107
78167,150
58900,234
27906,262
18536,281
83179,311
52727,348
63336,444
58153,468
48005,493
86287,518
44005,562
93822,626
68625,647
47865,668
8713,705
1538,725
71169,803
16917,825
17936,844
32554,859
17930,872
6010,936
76789,953
68544,975
23941,997
67251,1034
88886,1088
17982,1119
38028,1148
94700,1167
37976,1178
96216,1208
38594,1232
76005,1253
6164,1263
1020,1279
75551,1301
60398,1315
44881,1330
79330,1343
62265,1357
6410,1378
42895,1393
21579,1414
96447,1422
38843,1429
40536,1479
13148,1500
20476,1519
74996,1535
41666,1556
37421,1600
57720,1602
8814,1616
57216,1624
93337,1664
83146,1694
68459,1698
53181,1701
86212,1707
92728,1710
89278,1720
18790,1722
22825,1723
78382,1731
64208,1732
71566,1739
5087,1740
12526,1745
97494,1753
1718,1754
52498,1755
24812,1764
68549,1765
202,1766
605,1772
32323,1773
3961,1774
23213,1775
20534,1783
24509,1786
20959,1788
41586,1792
65264,1793
40594,1796
50600,1798
20395,1803
25883,1808
41030,1812
39094,1813
181,1816
44575,1819
21501,1820
30418,1823
5438,1826
31700,1827
10822,1830
63904,1833
19045,1835
1924,1838
16899,1843
36935,1844
45950,1845
45199,1849
47682,1853
5563,1856
41019,1857
3454,1863
80923,1864
52535,1865
19608,1866
43418,1868
18319,1875
47921,1879
48084,1880
43660,1881
16722,1884
8767,1885
29673,1891
83510,1894
99240,1902
32,1907
64522,1912
86814,1913
69156,1919
2366,1924
85115,1929
12849,1934
32692,1945
85873,1948
62992,1950
62762,1956
27985,1957
36759,1959
82554,1960
76573,1965
82533,2021
25136,2029
23596,2030
39661,2035
67328,2038
94454,2052
20948,2059
23351,2069
38368,2075
1348,2080
15721,2091
15749,2098
98067,2100
53341,2105
15352,2115
1832,2122
594,2125
67052,2134
63232,2137
15325,2148
15751,2158
99185,2165
1830,2178
17407,2190
57105,2203
55299,2211
56317,2214
56832,2225
14092,2229
55083,2245
55188,2250
55310,2259
55341,2263
55943,2273
55866,2283
55448,2290
55972,2298
55999,2303
74875,2311
55076,2322
54420,2339
15940,2343
15942,2345
55589,2356
92601,2382
14330,2387
61663,2401
14256,2415
16256,2425
54877,2445
55066,2461
