INDEX,UNIQUE_INDEX
8112,0
41196,11883
41190,11912
31921,11923
41201,11938
8106,11955
24377,11968
41213,11982
24376,12001
31920,12013
41186,12022
95224,12038
8105,12047
41174,12057
41170,12066
41171,12077
41175,12088
24378,12097
15707,12110
41181,12124
31925,12136
86127,12146
31913,12156
13239,12166
31903,12174
61960,12188
13238,12198
90340,12205
41242,12218
90338,12227
31906,12235
63099,12244
8085,12257
90339,12273
95233,12284
41224,12294
8093,12301
41223,12312
41217,12319
31912,12325
41225,12330
41232,12341
13237,12346
63100,12352
41230,12360
41231,12369
41168,12377
31936,12386
41080,12401
31937,12403
13217,12406
8160,12412
31935,12422
90349,12431
86099,12439
41081,12444
41084,12450
31938,12459
92516,12467
8155,12472
41061,12481
41058,12488
41060,12496
41067,12501
90352,12508
41069,12518
86089,12528
41070,12532
86088,12539
8154,12544
41151,12549
24408,12553
41150,12557
41137,12568
41140,12574
31930,12581
8131,12587
41160,12593
41163,12596
41162,12604
27415,12608
24410,12615
41097,12620
41131,12624
13220,12626
8153,12630
31934,12640
41100,12646
41130,12649
31932,12660
15710,12663
41109,12664
41110,12668
41265,12673
24330,12680
41410,12684
24340,12688
8016,12690
41414,12695
41422,12698
41397,12701
86175,12702
41415,12705
17167,12709
41396,12713
8028,12714
61965,12717
75728,12719
75729,12727
13251,12730
41376,12733
31894,12736
41377,12740
75723,12745
41382,12749
41383,12753
41427,12755
41501,12758
31896,12760
24320,12762
41487,12763
24321,12766
31889,12768
41520,12770
41509,12774
41517,12778
41515,12781
86178,12785
41486,12788
90311,12791
27433,12792
41453,12794
41428,12795
86177,12796
41459,12799
41476,12802
8001,12803
41475,12808
41461,12809
31892,12811
86163,12813
90335,12814
24957,12816
41298,12818
41285,12820
24361,12823
95258,12824
90334,12827
91171,12830
41312,12834
95259,12836
41311,12838
95255,12840
90337,12841
41284,12844
61530,12847
41266,12848
41267,12851
31900,12854
41283,12855
59944,12856
17148,12857
91170,12859
41277,12860
41320,12861
31897,12862
41321,12863
41354,12864
41352,12865
41353,12866
8039,12868
86162,12869
41358,12871
41361,12872
41359,12873
41360,12874
41351,12875
41334,12876
75732,12877
86151,12878
17153,12879
75741,12880
8051,12881
75733,12883
31898,12884
41342,12885
75740,12886
60598,12888
41057,12890
24527,12891
24528,12893
40802,12894
86032,12895
40805,12898
95144,12899
40801,12900
40807,12901
24512,12902
92530,12903
40800,12904
40792,12905
40808,12906
86027,12907
90380,12908
40790,12909
86028,12910
40799,12911
40796,12912
40798,12913
40797,12914
8315,12916
86038,12919
40832,12923
40851,12924
86043,12929
13194,12935
40831,12951
40834,12969
40847,12991
91163,13002
40846,13019
40843,13038
40845,13047
40827,13060
40816,13067
8288,13072
40815,13081
8299,13095
40812,13103
40817,13119
86040,13140
60584,13158
40824,13162
40822,13175
40823,13187
40787,13210
15722,13222
40742,13235
40741,13251
40746,13263
40752,13281
8349,13304
8358,13322
31963,13346
40753,13368
40754,13405
8359,13440
24560,13475
40756,13511
8367,13545
31965,13580
40724,13618
27382,13644
86002,13672
81374,13698
40734,13729
86000,13763
40733,13791
40757,13825
40775,13861
40786,13905
31960,13943
40769,13974
40770,14013
40777,14047
40785,14078
40778,14120
8326,14150
24546,14180
24545,14209
40768,14260
8343,14319
40767,14392
40762,14480
40758,14581
31961,14727
8342,14918
40766,15095
24551,15289
40765,15477
40763,15679
92531,15886
40854,16012
63110,16110
95188,16209
40976,16338
40977,16437
40978,16533
31944,16616
31945,16698
40988,16794
40979,16891
40987,16978
31948,17057
24470,17139
90357,17221
40948,17300
24471,17360
17107,17422
40953,17494
31950,17562
40954,17624
40967,17697
40955,17763
24468,17833
40994,17914
41036,18006
40942,18091
41033,18171
31940,18251
41031,18319
8185,18411
41055,18462
90354,18529
41046,18588
41043,18658
17116,18724
41018,18786
41003,18853
41014,18903
59145,18965
86081,19027
40996,19073
41004,19128
41013,19192
41008,19251
8193,19314
41010,19377
41012,19431
40939,19479
40877,19539
41056,19617
60356,19689
40875,19788
40876,19896
61942,20030
40889,20187
8256,20347
40887,20504
40884,20675
40886,20823
40872,20978
40862,21059
40870,21155
40861,21249
13196,21341
40860,21436
86050,21511
86060,21603
40866,21680
95156,21769
15719,21867
40868,21946
40890,22018
90359,22104
86065,22199
86067,22283
90368,22354
90367,22432
31951,22508
40937,22570
40934,22654
63111,22734
40935,22806
40936,22882
40915,22998
8246,23078
40914,23167
8247,23249
40895,23336
8248,23422
40896,23505
31954,23580
31955,23643
40909,23700
40908,23767
61943,23845
7984,23895
86336,23952
31756,24010
42308,24080
42319,24150
42352,24204
42369,24278
86334,24345
86341,24388
91179,24461
60626,24528
42304,24596
13342,24673
31751,24735
17278,24818
42282,24883
13341,24956
31760,25056
31759,25150
42292,25266
13346,25377
13345,25508
24102,25641
90225,25757
42414,25865
42444,25951
42412,26039
42411,26097
24062,26196
24061,26304
42443,26394
24060,26502
31738,26585
42424,26669
42432,26759
42410,26829
7712,26912
31743,26978
13352,27060
60627,27153
7714,27214
42380,27285
42402,27367
42382,27443
31748,27525
86347,27596
31749,27675
64999,27758
31785,27857
86281,27956
90252,28037
42164,28132
86296,28235
86300,28319
90253,28411
31775,28493
42185,28572
31781,28654
86278,28730
42107,28810
7766,28877
31786,28947
75239,29010
7787,29085
90255,29154
7779,29225
92445,29296
42134,29361
86277,29441
7781,29517
64988,29607
59960,29690
17277,29765
75133,29858
59959,29959
31770,30059
75131,30155
42272,30267
31764,30371
91178,30484
86316,30603
31762,30698
92441,30804
90241,30926
92442,31020
31772,31092
27473,31181
42205,31250
42220,31336
64998,31426
7759,31508
42242,31577
42232,31646
86304,31723
42446,31804
17333,31873
17332,31940
42577,32014
60630,32089
31715,32168
31712,32234
74912,32296
86387,32370
42593,32441
27480,32516
42573,32591
42554,32682
42601,32757
42551,32863
7641,32942
42547,33018
90208,33099
42570,33181
42557,33275
42564,33361
90207,33431
17331,33490
7619,33573
42633,33659
31716,33729
23960,33779
23961,33860
42631,33928
42635,34015
42642,34101
42636,34180
92415,34248
42641,34326
7599,34406
23967,34483
92417,34566
42624,34643
42605,34730
86394,34818
42602,34905
7614,34984
42621,35076
31705,35152
61999,35242
31702,35328
42617,35434
42544,35507
31726,35616
41521,35733
24045,35841
42479,35933
42480,36010
86366,36090
7668,36178
24031,36261
7669,36347
31723,36430
42493,36521
42471,36607
42453,36710
31728,36815
7689,36905
95420,37014
24059,37107
86359,37205
24046,37307
31732,37395
42465,37489
42462,37592
31730,37701
24030,37790
42525,37895
31718,37980
61994,38080
24016,38178
86372,38273
42526,38367
24006,38456
42528,38564
24014,38669
42529,38748
31717,38830
24017,38908
95429,38986
60629,39083
90213,39163
13366,39255
42505,39339
7661,39442
42516,39524
7660,39607
58994,39693
86370,39786
24021,39875
86275,39972
24236,40065
59948,40155
41707,40233
41718,40339
64958,40433
24229,40548
27449,40653
24234,40749
86232,40844
7914,40960
24237,41069
60612,41193
41744,41315
60611,41407
7932,41528
41658,41632
31858,41732
41680,41836
7927,41923
86227,42017
31857,42106
75519,42197
41750,42277
41794,42382
90276,42462
41793,42547
41787,42639
41789,42728
41796,42801
90279,42894
13281,42977
41822,43048
31849,43139
41821,43230
41786,43319
24221,43391
59949,43483
90283,43572
13278,43665
7908,43761
41761,43848
