INDEX,UNIQUE_INDEX
65313,0
65334,10
7424,42
25936,44
7403,92
25959,157
83400,165
46028,175
46005,363
83419,642
95217,684
18951,761
94844,769
18964,831
59423,1100
58915,1191
95349,1220
59015,1341
94733,1356
59305,1526
18966,5819
39119,5862
38999,5926
39014,7133
39650,7171
39745,8296
39012,8357
94721,8363
19068,8442
2440,8454
19598,8467
19691,8517
77358,8527
1849,8631
1860,8643
1861,8700
77236,8705
1943,8919
76817,8931
76918,8983
2361,9021
76806,9373
79638,11166
4316,11339
43555,11347
43515,11406
43428,11438
43453,11450
43343,11742
5644,12116
5572,12244
62627,12253
5492,12261
62694,12279
5589,12287
43269,12416
5685,12444
62855,12796
62772,12848
62796,12959
32528,16476
71155,16559
23279,16649
67785,16657
23203,21757
12710,21781
68022,22319
85582,22330
9429,22925
85745,22935
9636,22956
9668,23127
81031,23155
49272,23273
52701,23301
49240,23315
80951,23907
49034,23921
88873,23931
23361,24005
23386,24886
80994,29225
62343,29381
23489,29431
23448,29437
80526,29445
99357,29457
29167,33144
28931,33344
99317,35145
99269,35155
5429,35163
96149,35168
41587,35176
11283,35189
20644,35199
20568,35230
96181,35286
29178,35381
78137,35391
51248,35620
11364,35625
60154,35643
40706,35666
49282,35676
40483,35801
40479,35850
20425,35887
20421,35948
78107,36032
69766,36202
29054,36246
85665,36278
69873,36328
69840,36344
41389,36352
51307,37709
85751,37718
9678,38518
67908,38543
87533,38633
87589,38782
96336,38843
87500,38855
69928,38865
9548,38882
96416,38897
87422,38966
2979,39231
78281,39259
40629,39326
49152,39529
3890,39547
79032,39752
79133,39762
11462,39822
78356,39847
97166,39849
21305,39859
31122,39919
31058,40045
3749,40386
60947,40394
51131,40479
31019,40487
40439,40512
97292,40520
20380,40602
3142,40629
51210,40640
60310,41441
11400,44273
60155,44396
60373,44450
21502,45053
30940,45061
3208,45071
70633,45167
31922,45194
52090,45304
88309,45431
31925,45870
88312,45911
52087,45926
12180,45936
84126,45946
46905,46006
7980,46454
66182,46483
83685,46536
26838,47124
7640,47137
65613,47170
26259,47334
46327,47378
12086,47383
83233,47611
82616,47626
82588,47874
82620,47884
12113,47912
75449,47976
75502,48001
36533,48035
79022,48043
12117,48080
79085,50223
78202,50237
79170,50257
35513,50262
14443,50277
47972,50400
15840,50408
78410,50628
14552,50665
47676,50845
649,51059
13542,51072
15463,53904
46882,54232
36613,54310
78026,54338
48314,54514
46976,54629
14991,54658
46989,54682
78710,54690
8462,54796
3760,54839
3682,55148
3718,55156
3261,57062
3072,57176
96063,57596
3068,59293
41854,59325
5112,59390
42922,59451
99368,59456
93226,59527
40349,59590
3832,59621
93284,59671
96253,59722
40549,59807
40766,59838
41485,59846
97328,59992
41401,61133
692,61158
98774,61785
41350,66029
5702,68261
97275,68269
96801,68301
2466,68305
96476,68314
97051,68622
97235,68625
97156,68633
97093,69181
41497,69182
92337,69190
86312,69483
45189,69791
10274,70080
87211,72291
38526,72301
87649,72566
87629,72665
83311,72743
37569,72751
11508,72918
11527,72977
83365,72987
46388,74550
11089,77027
83949,77030
83862,77637
37516,77657
8700,77662
6386,77675
91494,77806
90546,78661
6278,78664
92052,78674
43571,78683
91760,78903
88213,78916
90469,78923
44541,78942
88250,79037
88245,79796
17476,79851
7685,79877
7975,80151
44368,80161
90368,80510
15192,80520
60991,80607
69560,80632
60935,80873
51368,80881
51351,80889
61056,80907
26924,81533
53816,81558
21770,81563
63700,81573
20295,81595
20488,83159
68649,83185
72832,83638
27881,84641
60067,86407
28263,87008
28156,87512
49930,87588
72755,87701
63871,88310
60666,88407
60421,88445
60238,88448
21413,88510
33650,88818
26910,88828
70539,89087
34019,89095
31849,89139
21266,91548
54220,91557
21317,91637
21401,91647
62292,91758
51164,91776
26815,91861
31854,92119
34053,92144
54184,92268
50906,92271
62905,92307
65169,93126
41069,93217
20701,93254
31817,93264
20997,93276
69986,93284
69967,93329
26321,93565
21225,93652
70575,94873
70571,94893
72654,94911
30972,94960
66264,94993
31186,95238
56779,95441
56699,95446
18471,95473
66250,95486
31167,95601
57634,95610
55684,95618
74346,95646
57681,95658
23506,98943
53668,98955
29799,98964
64512,98966
17529,98978
73784,99456
52019,99632
74050,99654
52014,99794
65673,99814
30710,99815
33502,99914
24475,99942
51983,99952
24306,99964
74631,99974
25126,99998
22852,
90036,
32633,
89971,
7300,
65039,
7269,
65122,
89837,
54087,
39190,
5598,
90032,
89810,
53275,
62806,
64879,
91916,
53449,
43671,
63002,
90875,
91300,
91791,
91696,
91676,
25498,
53644,
91675,
91782,
7108,
25789,
25802,
5774,
53730,
53891,
90399,
25743,
92046,
25656,
32297,
92169,
43463,
92133,
94346,
58296,
41601,
55443,
96882,
31162,
2001,
55515,
29691,
41604,
55240,
55117,
55101,
58618,
58551,
58602,
55307,
58543,
57472,
56549,
55962,
1267,
98107,
56254,
56492,
1168,
1278,
56631,
1717,
57455,
1761,
59063,
55812,
97652,
97596,
1533,
55877,
59069,
4132,
4135,
4182,
4130,
31775,
54453,
4065,
94616,
94329,
31818,
61693,
93031,
93007,
42527,
94259,
93990,
93856,
4741,
94918,
41776,
27563,
27358,
31654,
59132,
54749,
27977,
54530,
41843,
95004,
54473,
3905,
94927,
61326,
31736,
41845,
41849,
61282,
52471,
73163,
19140,
14614,
14389,
14184,
72685,
14350,
14618,
14653,
49811,
18622,
35793,
34582,
14965,
73590,
18841,
14894,
18792,
72322,
13698,
47633,
13769,
71371,
72122,
47427,
13475,
72095,
13567,
13778,
79473,
79421,
14110,
72257,
36089,
79861,
13887,
72318,
13933,
73965,
35276,
76159,
18225,
74427,
16398,
76420,
76412,
76037,
18212,
35140,
75275,
75255,
76473,
17295,
74463,
18101,
35073,
17273,
16372,
35642,
48595,
77050,
73966,
74081,
73986,
15219,
35708,
74072,
74206,
16170,
35344,
76489,
76982,
34950,
76975,
34934,
74340,
16038,
36327,
33564,
38274,
38260,
51943,
33478,
87624,
51984,
51904,
22457,
69770,
45564,
45722,
88059,
51346,
51822,
38148,
33725,
10170,
38585,
38889,
88753,
88665,
45807,
88847,
65182,
89088,
52807,
23607,
8429,
33283,
88178,
88140,
33113,
88214,
23396,
66701,
66921,
38679,
45853,
70540,
12087,
70947,
65170,
12044,
83172,
82927,
11928,
12006,
71034,
36384,
13231,
81135,
12501,
36466,
34286,
71126,
34306,
34363,
83174,
84605,
37336,
21761,
83234,
84807,
45866,
21820,
33922,
21765,
37315,
70467,
70505,
83248,
21759,
11503,
21691,
69962,
21511,
21507,
15341,
485,
99473,
99274,
59439,
46400,
20601,
58945,
94759,
78317,
19231,
31263,
51940,
46374,
88175,
51443,
12040,
1877,
76841,
77380,
26307,
96372,
39034,
60341,
65685,
11601,
70502,
59122,
87725,
94994,
39591,
3172,
77040,
95368,
7690,
2068,
70062,
65660,
39281,
19543,
18986,
7676,
26333,
83742,
83804,
31772,
79097,
65945,
69842,
40883,
46996,
26931,
66246,
2885,
96607,
8029,
48542,
51139,
46351,
39426,
48497,
48487,
48486,
48489,
11291,
60999,
84204,
97248,
7845,
30996,
60481,
26906,
46972,
26283,
51187,
20772,
2181,
28390,
46658,
8991,
87502,
20275,
69774,
19604,
31020,
40838,
11341,
28395,
78006,
8978,
8981,
8979,
20816,
85236,
40329,
85235,
87430,
67400,
61052,
8018,
83740,
96552,
60053,
3312,
30948,
39656,
26594,
65637,
84184,
79164,
28399,
51211,
78535,
28403,
83702,
97323,
48496,
78483,
66271,
11365,
19377,
96038,
28398,
46096,
65321,
83406,
46013,
26027,
25944,
83471,
7411,
11968,
77032,
28120,
16091,
92233,
73771,
88241,
90432,
35566,
94282,
76439,
41149,
95016,
54192,
76432,
21173,
32119,
3623,
15921,
59141,
11942,
55599,
72718,
36455,
95014,
21106,
70401,
90744,
91481,
76085,
88073,
12339,
77061,
3562,
15630,
70568,
58569,
94986,
28385,
41183,
28404,
74527,
31695,
21076,
55736,
35429,
41234,
51863,
87776,
41259,
94291,
31668,
58224,
52291,
58562,
70110,
56620,
34027,
77059,
73030,
93908,
21150,
32677,
79474,
41979,
98138,
79476,
79529,
61669,
79483,
24712,
98048,
22076,
21839,
4434,
98028,
97990,
24888,
98013,
64580,
44551,
82366,
79470,
42683,
98075,
24697,
41959,
61339,
79454,
79458,
79623,
41999,
62193,
4299,
79813,
62185,
98442,
79785,
6554,
42850,
98421,
79797,
98428,
79834,
62165,
42722,
42774,
98522,
98504,
45260,
98461,
98462,
98486,
62176,
62173,
42840,
79771,
21849,
4866,
98198,
79612,
79609,
79583,
42799,
61491,
22560,
