INDEX,UNIQUE_INDEX
22647,0
22634,551
97990,1023
22624,1418
97967,4207
97947,13884
22623,18342
22648,18683
98021,18684
98027,28489
98028,33168
22671,34967
22655,35344
98011,35820
98013,41162
22582,41989
22617,42204
22594,43203
97926,44151
22593,45972
22592,47121
22591,47322
22584,49663
22585,51453
22595,53039
22606,53256
22607,53662
22608,58503
22605,58741
22600,59130
22601,59248
22603,61556
22616,61902
98048,64324
98428,69896
98421,71322
98424,71850
98417,73043
50746,75544
24888,76109
25196,76329
98442,77193
98467,77374
98480,79201
98486,79216
98462,89924
98451,91560
98455,95742
98461,95877
22714,96005
24712,98892
22771,99725
98075,99808
22767,99998
98073,
22728,
22725,
22726,
22772,
23906,
52842,
24485,
23701,
22779,
98138,
98198,
24697,
22581,
22016,
21994,
21998,
21991,
97711,
97703,
97710,
22051,
22087,
22112,
97762,
97738,
22066,
22076,
22077,
22205,
21986,
21942,
21930,
21935,
97663,
21917,
97653,
97656,
21958,
21976,
21978,
97697,
21967,
21959,
21960,
21963,
21983,
22243,
97865,
22517,
22524,
22513,
22508,
97845,
22506,
97873,
22571,
22572,
22574,
22563,
22560,
22561,
22562,
22503,
97841,
97798,
97799,
97800,
97789,
97770,
22247,
22269,
21895,
97801,
22492,
22495,
22501,
22486,
97803,
97814,
22483,
97802,
98487,
42563,
42572,
42565,
42574,
42578,
42586,
42582,
42555,
42319,
42292,
42186,
42324,
42547,
30553,
42345,
42670,
42590,
42647,
42659,
42649,
42660,
42662,
42669,
42663,
42646,
42628,
42616,
42607,
42635,
42638,
42637,
42636,
42597,
42154,
41968,
41999,
41979,
42013,
42020,
42040,
42028,
41959,
41917,
41913,
41903,
41923,
41950,
41947,
41932,
42153,
42041,
42066,
42075,
42071,
42078,
42098,
42143,
42130,
42064,
42045,
42044,
42043,
42048,
42060,
42058,
42052,
42042,
42671,
98548,
98537,
98547,
98536,
98535,
98532,
98534,
98553,
98572,
98580,
98615,
98571,
98554,
98557,
98566,
98634,
98530,
98512,
98503,
98504,
98501,
98499,
98489,
98498,
98513,
98524,
98525,
98526,
98523,
98515,
98516,
98522,
98529,
98644,
42686,
42696,
42695,
42701,
42702,
42723,
42722,
42685,
42678,
42673,
42672,
42679,
42684,
42683,
42681,
42729,
42774,
45260,
44958,
44783,
98687,
98648,
98657,
98665,
98488,
44768,
42833,
42800,
42799,
42840,
43768,
42850,
42844,
44551,
21884,
80263,
80267,
80264,
80276,
80282,
80291,
80283,
80259,
80248,
80246,
80244,
80249,
80258,
80251,
80250,
5034,
80328,
82366,
6675,
82656,
6554,
87057,
5041,
5835,
82202,
80369,
80360,
80358,
80376,
82187,
81974,
81252,
80347,
80243,
80148,
80164,
80152,
80173,
80181,
80197,
80186,
80145,
79797,
79796,
79791,
79813,
80141,
79834,
79832,
80240,
80203,
80227,
80230,
80229,
80236,
80237,
80239,
80238,
80226,
80214,
80206,
80205,
80215,
80220,
80219,
80217,
80204,
5033,
4323,
4317,
4322,
4316,
4315,
4307,
4314,
4328,
4398,
4413,
4434,
4385,
4331,
4335,
4352,
4517,
4306,
4215,
4207,
4211,
4197,
4191,
4163,
4183,
4224,
4279,
4287,
4299,
4274,
4231,
4241,
4261,
4302,
4550,
4914,
4906,
4907,
4894,
4884,
4878,
4883,
4930,
4988,
5021,
5029,
4986,
4958,
4973,
4984,
4869,
4868,
4788,
4791,
4795,
4786,
4769,
4777,
4780,
79785,
4800,
4851,
4866,
4867,
4849,
4811,
4836,
4848,
4804,
79784,
61963,
61976,
61972,
61979,
61983,
61997,
61992,
61704,
61633,
61622,
61621,
61634,
61669,
61667,
61651,
61611,
62001,
62044,
62048,
62046,
62049,
62056,
62059,
62057,
62043,
62027,
62013,
62008,
62033,
62036,
62035,
62034,
62007,
61597,
21821,
61311,
21797,
61323,
61327,
61339,
61329,
21839,
21867,
21876,
97649,
21859,
97630,
21849,
97635,
61372,
61377,
61491,
61483,
61478,
61501,
61584,
61528,
61521,
41881,
61477,
61410,
61384,
61383,
61449,
61475,
61474,
61473,
61476,
62060,
79521,
79529,
79528,
79556,
79583,
79608,
79598,
79515,
79458,
79454,
10945,
79470,
79483,
79476,
79474,
12834,
79609,
79649,
79677,
79670,
79721,
79739,
79771,
79753,
79645,
79613,
79612,
79611,
79622,
79639,
79638,
79623,
79610,
69407,
62080,
62082,
62081,
62088,
62089,
62094,
62093,
62079,
62070,
62069,
62068,
62071,
62077,
62075,
62074,
62097,
62105,
63881,
63099,
62207,
64096,
64580,
64284,
64111,
62067,
62193,
62119,
62111,
62110,
62151,
62176,
62173,
62165,
62185,
61566,
99594,
32677,
7793,
18476,
88190,
12071,
88181,
3469,
87801,
1493,
7786,
87997,
32183,
31270,
31285,
94800,
37322,
78586,
17676,
21082,
7815,
78541,
78562,
78611,
39557,
78684,
1864,
95095,
72916,
78638,
3004,
3028,
88500,
74670,
53797,
21318,
55556,
3177,
21294,
26786,
87724,
