INDEX,UNIQUE_INDEX
8976,0
65559,76
65636,107
8977,387
8980,397
11352,407
40837,435
40939,464
39427,505
85233,507
39655,522
48484,565
61007,627
85234,632
19378,820
2884,833
60567,841
79105,853
8982,914
46350,1183
2363,1191
78482,1200
48485,1372
19603,5688
8028,5778
46272,5780
11260,6980
46183,7102
11395,7147
46995,7229
26206,7259
60052,7598
59255,7610
40328,7618
87528,7657
87491,7662
78585,7721
65477,7933
48483,7945
20274,8001
26282,8053
69831,8063
20869,8113
96662,8126
96551,8163
31053,9305
31007,9656
30916,11442
67399,11453
28392,11465
28389,11513
97322,11521
69869,11553
28393,11559
97258,11568
28400,11646
78005,11776
28396,12068
3393,12440
20771,13566
7557,13742
83701,13858
7606,13922
48488,13930
48495,13940
79163,13948
51110,14035
96037,14119
83880,14469
51199,14597
66270,14607
83942,14618
26116,15219
83809,15241
51243,18763
26930,19347
39048,19375
39030,19385
19067,19390
19374,19400
59492,19572
1942,19600
39118,19618
1873,19691
95160,19743
94770,19771
95423,20309
95348,20341
94755,20349
19000,20398
2360,21279
18982,21438
59422,21448
2289,23627
58943,23635
58952,23643
2179,27325
76852,31644
77184,31657
39565,31665
39649,31670
77357,31701
76839,31758
39423,31769
77429,31969
19597,33781
19517,33791
73725,33804
50406,33816
33173,33826
292,33922
41842,34018
1532,34023
79496,34041
79420,34270
1554,34294
56547,34304
99280,34430
50453,34480
5605,34505
32731,36731
15588,36896
17294,36957
51962,37041
32142,37190
5758,37234
76974,37288
17272,37319
41844,38681
12065,38697
32728,38747
41848,38755
84604,38863
41926,38888
51746,38979
79860,38989
51455,39000
73622,39260
33230,39277
13546,39290
57236,39357
76604,39418
33723,39478
61281,39543
90393,39558
76620,39603
41603,39866
57454,40068
57779,40269
47632,40297
99438,40311
95103,40336
73964,40346
76567,40431
13565,40433
57471,40460
41609,40468
33282,40493
84806,41290
41841,41301
17910,41967
50279,42136
484,42196
33252,42318
33453,42333
33477,42341
3904,43432
91435,43436
3908,45618
56632,45758
27976,45813
33508,45814
33561,45914
33597,45924
48597,46529
52316,46537
82870,46633
7169,46660
53643,46742
55239,46852
70319,46978
55116,47417
53674,49237
56230,49247
82912,49262
66920,49322
83173,49332
25584,49580
55517,49613
55309,49648
83021,49656
55442,51798
53619,51818
53727,54667
90874,54744
25804,54758
10698,54766
81102,54774
72559,54798
72565,54807
43471,54927
11613,54990
13396,57399
72679,57613
10559,57834
8428,58012
43638,58049
62814,58086
62969,58114
53763,58119
70312,58134
53448,58162
52896,58275
31275,58300
52893,58885
55958,61106
15830,61114
73162,61239
11896,62088
96881,62096
7310,62402
16424,62467
77052,62573
31796,62623
91332,62651
42415,62766
31578,64674
17040,65091
77134,65099
13474,65142
1007,65205
30240,65237
30283,65308
25480,65339
83250,65363
53418,65414
30123,65588
11852,65650
53396,67354
71854,67980
15858,68065
16883,68211
61692,68253
25419,68800
66700,68801
53337,69247
25429,69255
95006,69548
4128,69856
45868,69865
19139,70153
92749,74398
69131,74707
4630,74735
70072,74738
88196,74748
72316,74783
45546,74793
45495,74813
75017,75298
36467,76152
54452,76246
45650,76264
14465,76296
36382,77860
27562,80247
97595,80306
90035,80314
21842,80405
10662,80410
64811,80413
64801,81019
87979,81027
72321,81195
35789,81203
75860,81213
27357,81291
36065,81305
45485,81315
93006,81318
88028,81584
93030,81591
90030,81610
69458,81830
14393,81843
92043,81975
38584,82030
38610,82056
13886,82159
92129,82920
37956,82928
22336,82938
89567,83283
38678,83293
39189,83301
13776,83577
69002,83664
64862,83905
91890,83923
72109,83948
4200,84747
98106,84785
91907,85795
89233,86244
36919,86503
37077,86601
14183,86685
54470,86761
88518,86783
4129,86789
4131,86827
89824,86835
14128,87165
13953,89577
4134,89690
92168,91458
13909,91583
89019,91620
37314,91630
75254,91639
37335,91719
75274,91737
87985,92337
18621,92363
34409,92866
90271,94444
90273,94454
58601,95081
34303,95084
58716,95691
21506,95716
74180,95721
91674,95743
64968,96051
93666,96054
34285,96875
53889,96936
54576,97044
71302,97067
74197,97112
16603,97122
86788,97130
47426,97141
70522,97379
58021,97388
21757,97475
505,97493
94917,98726
14964,98785
76472,98818
61069,99021
14891,99264
94328,99313
14821,99318
58465,99338
2000,99365
90279,99594
94505,99608
94488,99616
18552,99625
94447,99638
59134,99752
12361,99762
35275,99932
35346,99952
23574,99962
18807,99974
35142,99998
74337,
23404,
74423,
12884,
97677,
74462,
7058,
65184,
87736,
21764,
14619,
35072,
21758,
13696,
18791,
59212,
21760,
34949,
72557,
83399,
65312,
83409,
7402,
7414,
46016,
25947,
25935,
65324,
46004,
84245,
8057,
83767,
66317,
7639,
26978,
65612,
46326,
47043,
26258,
59064,
39757,
19610,
39663,
39347,
39566,
19704,
77471,
77435,
77366,
39288,
76976,
77049,
19518,
2123,
59131,
94919,
95471,
95431,
95003,
2290,
19298,
19239,
59535,
2368,
2451,
59499,
95353,
70740,
88533,
70836,
11874,
52333,
70352,
70820,
18508,
52247,
76419,
88021,
32076,
51768,
88451,
88007,
70338,
12388,
51783,
32175,
32159,
31600,
12302,
38564,
94266,
58550,
1515,
31615,
52349,
12374,
29079,
29077,
29087,
29169,
29147,
85901,
29384,
49183,
49181,
49191,
49252,
49274,
49256,
49018,
48877,
9670,
49491,
85684,
85652,
68232,
9273,
29151,
67934,
67942,
68003,
28776,
9886,
68024,
67932,
67774,
9577,
67634,
9587,
67884,
9579,
68007,
28920,
9652,
29029,
9648,
9413,
4317,
79639,
97630,
42850,
42582,
61311,
22779,
22483,
4769,
79454,
97711,
5041,
61384,
4795,
79529,
42555,
22508,
77009,
95367,
87690,
70027,
31206,
2067,
78614,
11566,
3423,
19542,
2310,
83803,
11545,
31228,
46703,
87668,
7865,
51409,
77039,
59093,
94957,
94993,
40975,
65726,
39590,
26639,
59121,
77379,
70005,
51387,
20904,
96693,
83968,
7710,
39280,
19230,
39242,
60594,
19190,
26373,
65990,
46441,
59438,
84173,
60537,
84129,
96278,
26663,
21332,
78227,
41416,
41473,
41386,
97107,
41203,
3831,
41495,
26273,
76921,
97342,
97224,
3891,
41588,
77053,
21117,
61064,
96623,
60902,
3073,
83629,
83787,
60729,
40554,
21503,
21302,
3817,
60985,
21389,
20493,
21411,
26679,
46341,
7603,
46267,
46464,
26396,
66028,
3744,
59135,
66013,
65750,
7726,
78985,
95008,
79182,
94849,
7889,
65627,
7643,
79076,
65554,
46729,
46745,
78550,
26201,
79739,
22269,
97947,
61584,
42345,
11737,
5109,
64441,
74048,
41270,
88251,
41328,
2462,
28265,
70550,
59538,
65672,
90367,
88262,
70208,
54182,
30189,
72928,
83340,
21319,
22849,
34017,
61034,
96802,
34054,
86692,
41070,
97019,
13594,
21243,
21184,
28154,
18470,
35511,
46975,
46387,
74345,
6277,
97159,
46988,
72653,
20700,
97234,
87942,
97230,
87874,
46864,
41853,
14551,
7952,
70586,
97155,
93283,
41403,
26797,
78711,
70576,
88224,
23503,
64511,
97298,
2408,
87117,
3260,
13539,
53669,
41482,
70271,
41496,
6799,
21398,
31828,
89819,
56698,
24305,
31856,
89762,
31868,
12129,
50348,
60420,
45118,
25051,
31518,
60237,
96475,
37568,
15462,
33503,
39708,
60667,
75501,
12096,
82619,
54221,
5699,
17528,
38525,
15717,
51605,
26909,
66144,
26923,
66249,
12119,
66263,
52033,
50807,
51230,
51994,
52021,
92051,
96062,
31429,
55682,
78409,
47973,
30613,
40548,
13668,
83364,
19654,
44367,
79025,
11805,
47677,
57680,
83370,
36532,
40765,
21412,
60938,
72976,
51693,
33915,
26320,
83652,
83651,
79140,
63699,
91758,
45188,
40348,
95475,
25125,
78201,
3067,
21769,
48297,
33799,
31039,
15838,
3071,
60066,
99365,
79081,
7684,
96252,
11382,
43569,
8463,
3857,
20487,
69036,
62902,
20294,
53964,
11002,
8701,
78025,
72047,
3697,
82587,
90690,
69467,
42919,
98773,
3824,
72104,
77473,
54080,
82525,
691,
27882,
90642,
3761,
20136,
62289,
18967,
59560,
59348,
19680,
2430,
39734,
95267,
1862,
77283,
59230,
77157,
95448,
