INDEX,UNIQUE_INDEX
61334,0
61318,551
61350,2345
61372,2910
61355,3041
61311,3056
41952,3395
41941,3594
41927,5408
61521,5526
41909,5746
41921,5876
61379,8176
61477,13728
61476,16230
61478,16231
61490,26067
61483,30767
61475,31917
61384,36767
61410,37623
61472,41788
61383,41871
61474,47206
61473,48036
41965,50388
42071,51823
42075,52649
42060,53117
42057,54115
42058,54331
42078,56154
42154,56531
42153,56744
42143,58541
41968,60127
42098,60516
42130,60753
42055,60931
42039,61324
42040,62270
42018,62797
41979,73485
42002,76263
42041,80719
42047,81195
42045,81605
42044,84028
42052,84375
42042,86026
42043,86217
61528,95917
62007,97109
62001,99998
62008,
79454,
62013,
61997,
61976,
61979,
61983,
61972,
21909,
61992,
62021,
62046,
62045,
62048,
62056,
62049,
62044,
62028,
62033,
62034,
62027,
62043,
62036,
21895,
68834,
61622,
61634,
61667,
61662,
61621,
82201,
61566,
61584,
61669,
61611,
61597,
21808,
21843,
21860,
21869,
62057,
21884,
21881,
21837,
61704,
21823,
21828,
61742,
82032,
82038,
42205,
4264,
4278,
4253,
4231,
4241,
4298,
4301,
43938,
4299,
42793,
43814,
43915,
4228,
42844,
42845,
42837,
42805,
42824,
42850,
4201,
4195,
4188,
4212,
99776,
4173,
4306,
86497,
4450,
4398,
10439,
4385,
4517,
4769,
50500,
50129,
4310,
4550,
4556,
4352,
4316,
4317,
4315,
4312,
4314,
4328,
10739,
4335,
44617,
44782,
4331,
44609,
42782,
42628,
42629,
42616,
42597,
42607,
99750,
42647,
42646,
42638,
42648,
42635,
42636,
42590,
42345,
42555,
42326,
42319,
42324,
42563,
42582,
42578,
42574,
42586,
42565,
42572,
42649,
42701,
42702,
42695,
42684,
42686,
42722,
42772,
42770,
42768,
42683,
42723,
42735,
42681,
42663,
42662,
42661,
42292,
42659,
42660,
42669,
42680,
42679,
42678,
42670,
42671,
42673,
21919,
22772,
22763,
22773,
80141,
22779,
22751,
22696,
22698,
22707,
81424,
22746,
22719,
80145,
80197,
80193,
80198,
23849,
80203,
80186,
80152,
80164,
80173,
80148,
