INDEX,UNIQUE_INDEX
8268,0
2455,1111
8280,1123
5457,1131
8261,1136
2448,1148
1413,1154
860,1160
8282,1165
2472,1172
8307,1181
8308,1186
6586,1194
5427,1201
8283,1204
2460,1213
8285,1222
8297,1229
5482,1234
8197,1238
6585,1245
5533,1248
891,1257
1699,1262
5546,1273
7173,1279
885,1285
5530,1291
2427,1301
8246,1309
874,1316
871,1320
2413,1326
8219,1332
8221,1336
5519,1344
5505,1351
846,1352
5391,1354
5388,1361
6618,1369
8368,1375
2500,1380
2501,1382
2503,1388
8375,1394
2511,1396
5361,1402
5359,1406
6622,1411
8361,1412
5368,1415
2512,1419
5384,1426
2517,1430
2519,1437
2499,1442
2481,1452
8324,1457
5407,1458
5032,1462
2480,1467
2477,1470
6595,1474
6597,1478
5408,1482
5396,1486
826,1490
825,1493
8350,1499
2495,1500
8348,1503
833,1507
832,1511
830,1514
8342,1517
895,1518
8006,1522
8025,1524
2317,1526
7192,1530
2307,1534
5669,1538
8001,1541
8032,1544
5657,1546
5641,1547
2330,1549
5640,1552
1712,1553
7191,1554
2319,1555
5648,1556
8043,1557
2326,1559
7990,1561
996,1563
7928,1567
7935,1568
2281,1569
1394,1573
999,1574
998,1576
7938,1578
6540,1579
2294,1582
7980,1585
2303,1588
2306,1590
983,1594
5692,1595
7957,1599
7973,1600
1717,1601
8056,1602
5594,1603
5590,1605
5585,1606
5596,1610
920,1611
5613,1612
5612,1614
8126,1615
8130,1616
8147,1617
2387,1618
8157,1621
921,1622
8146,1624
2381,1625
7176,1626
1409,1632
2385,1633
6568,1635
5633,1637
2338,1638
8069,1639
5552,1640
949,1641
2333,1642
2335,1643
8060,1645
5637,1647
8072,1648
930,1651
8105,1653
5616,1655
942,1656
8099,1658
2344,1659
935,1660
5627,1661
933,1662
2531,1665
6733,1666
7264,1668
2700,1669
679,1671
8665,1672
8672,1673
5155,1674
5135,1675
2704,1678
5131,1679
2716,1680
1438,1682
2717,1683
668,1684
2707,1685
5134,1686
2711,1688
5132,1689
6732,1690
5189,1691
6714,1692
8625,1693
8617,1695
2663,1696
702,1697
2665,1698
8630,1699
8633,1700
2676,1701
6720,1702
5171,1706
2685,1707
8646,1708
1631,1709
2673,1712
8639,1714
8642,1715
2720,1716
8814,1717
630,1718
8819,1721
8800,1723
2747,1724
6765,1726
6781,1727
5067,1728
8835,1729
2759,1730
5039,1731
8848,1732
7099,1733
620,1734
626,1736
5059,1738
6782,1739
5049,1742
8786,1745
8732,1746
5117,1747
8754,1749
801,1751
1439,1752
8705,1757
8710,1758
2723,1759
8719,1761
2731,1765
8780,1767
5088,1770
8782,1774
5111,1777
2740,1778
1440,1781
8769,1784
5110,1786
6762,1791
6709,1796
5315,1798
773,1801
2567,1806
5317,1807
781,1812
2555,1817
5321,1822
2569,1824
766,1829
8481,1832
2578,1836
5289,1838
8495,1841
8476,1842
765,1843
2573,1845
2574,1848
2575,1849
2554,1851
796,1856
2542,1861
2544,1865
2537,1871
2532,1873
5353,1875
8398,1879
8410,1882
5331,1889
1421,1894
5325,1898
784,1902
2553,1907
8419,1912
5330,1913
790,1916
789,1920
8417,1926
750,1928
5257,1929
2613,1933
8574,1936
723,1938
2601,1939
