INDEX,UNIQUE_INDEX
2175,0
971,404
2173,1483
2170,1609
2172,1628
2182,1643
957,1681
2218,1992
961,1994
2223,2006
966,2012
965,2214
4833,2903
2108,3060
2113,4210
995,4556
2019,4662
2021,4829
991,4865
4841,5101
4843,5534
978,5555
4837,5633
2118,5700
986,5724
952,5730
895,5733
2397,5735
899,5853
4345,5866
903,5870
893,5944
885,6025
2424,6037
2422,6042
914,6046
2401,6049
2404,6103
920,6113
2236,6943
944,7144
946,7466
2017,7484
2228,7514
2232,7903
940,7928
2313,8018
2307,8029
924,9322
938,9485
935,9998
2304,
1001,
1065,
1698,
1697,
1688,
1689,
1699,
1775,
1771,
1709,
1687,
8083,
1707,
1686,
1612,
1609,
1594,
2426,
1592,
218,
1616,
1649,
1647,
1074,
1081,
1078,
1644,
1779,
1942,
1961,
1939,
1923,
1936,
1966,
1004,
1975,
1973,
1920,
1969,
1972,
1917,
1045,
1048,
1792,
1788,
1052,
5377,
1042,
1911,
1906,
1903,
1883,
1887,
1890,
2440,
2762,
2763,
3413,
2758,
3416,
2764,
2773,
2771,
2770,
3420,
2766,
2768,
2757,
2750,
2744,
2743,
1590,
2738,
2742,
2751,
2756,
3424,
3427,
3444,
3430,
2752,
3370,
3140,
3139,
3141,
2923,
2925,
3136,
2947,
2940,
1301,
2916,
2928,
2939,
3192,
3275,
3286,
2796,
3367,
3356,
3347,
2798,
2908,
3196,
3204,
2803,
3234,
3220,
2737,
836,
829,
838,
841,
840,
2552,
815,
817,
819,
2517,
822,
820,
844,
870,
873,
877,
2736,
2443,
2446,
865,
2514,
2510,
850,
864,
860,
857,
3854,
759,
2713,
2711,
2705,
2708,
756,
750,
2733,
2731,
2614,
2721,
2728,
2609,
2569,
812,
3842,
3852,
3849,
3844,
808,
2607,
2587,
2584,
2572,
2577,
803,
4831,
1412,
1271,
1317,
1220,
1411,
1267,
1415,
1268,
1164,
1316,
1270,
1318,
1260,
1319,
1388,
1387,
1203,
1389,
1263,
1320,
1169,
1262,
1408,
1416,
1428,
1427,
1349,
1311,
1276,
1310,
1434,
1279,
1431,
1280,
1430,
1313,
1160,
1419,
7340,
1315,
1314,
1420,
1153,
1424,
1423,
1386,
1234,
1204,
1259,
1200,
1185,
214,
1199,
1380,
1237,
1344,
1238,
1240,
1381,
1345,
1198,
1376,
1195,
1192,
1194,
1193,
1375,
1186,
1187,
1188,
1435,
1377,
1197,
1382,
1383,
1334,
1330,
1333,
1347,
1328,
1321,
1327,
1175,
1348,
1322,
1336,
1181,
1180,
1340,
1243,
1244,
1179,
1374,
1339,
1178,
1342,
1246,
7831,
1277,
1354,
1490,
1300,
1228,
1492,
1493,
1499,
1226,
1498,
1495,
1496,
1489,
1486,
1294,
1303,
1353,
1292,
1295,
1302,
1298,
1297,
1505,
1487,
1205,
1506,
1570,
1571,
1569,
1222,
1360,
1573,
1219,
1586,
1583,
1291,
210,
1359,
1567,
1511,
1225,
1510,
1507,
1509,
1355,
1551,
1362,
1550,
1361,
1356,
1548,
1296,
1456,
1207,
1453,
1231,
1283,
1285,
1451,
1461,
1308,
1370,
1450,
1442,
1464,
1439,
1438,
1309,
1443,
1206,
1446,
1447,
1282,
1232,
1208,
1475,
1368,
1289,
1483,
1478,
1481,
1369,
1288,
1484,
1286,
1351,
1367,
1304,
1307,
1210,
1467,
2590,
2655,
2661,
2667,
2666,
2581,
2586,
1357,
2644,
2599,
2571,
2576,
2604,
2619,
2615,
2566,
2564,
2594,
2623,
2608,
2568,
2641,
2583,
2602,
2628,
2636,
2610,
2760,
8959,
8966,
2910,
2917,
8963,
2927,
2924,
2909,
8975,
2814,
2810,
8999,
8994,
8981,
8988,
8955,
3036,
3039,
3037,
3042,
3043,
3048,
3047,
3035,
8939,
8945,
8949,
8932,
3033,
3030,
8928,
2805,
2799,
2683,
2700,
9051,
2703,
2706,
2712,
2709,
2682,
2671,
2670,
2669,
2675,
2681,
2680,
2676,
2668,
9047,
9038,
2782,
2781,
2783,
9033,
2797,
2787,
2778,
2747,
1332,
1338,
1325,
2776,
9043,
2754,
2735,
2469,
2136,
2131,
2126,
2027,
2138,
2151,
2149,
2145,
2139,
2025,
1458,
9264,
9267,
1455,
1974,
2023,
2154,
1983,
1976,
1979,
2156,
2217,
1414,
2214,
2220,
2222,
2230,
2231,
2227,
1410,
2225,
2191,
3052,
1426,
2159,
2161,
1422,
2183,
2187,
2178,
1418,
2176,
9271,
1494,
1773,
1497,
1700,
1783,
1817,
1791,
1491,
1787,
1542,
1593,
1585,
1589,
1638,
1641,
1674,
1488,
1545,
1643,
1646,
1820,
1905,
