INDEX,UNIQUE_INDEX
7508,0
7527,1480
7526,3722
2306,5967
2305,7659
7528,9306
2304,9998
7507,
2330,
2331,
7484,
2329,
2326,
2327,
2328,
7483,
7529,
7569,
2256,
2257,
2255,
7592,
2238,
7593,
7568,
2280,
2281,
2282,
7555,
7567,
7557,
7556,
7530,
7482,
7413,
7415,
7414,
7416,
7417,
2412,
2413,
2427,
2451,
2452,
2453,
2442,
2428,
2429,
2441,
7418,
2400,
7455,
7454,
7453,
7456,
7481,
2355,
2356,
8841,
7452,
2397,
2398,
2399,
7451,
2376,
2377,
2378,
2375,
7608,
7777,
7779,
7778,
7780,
7781,
2075,
2076,
7761,
2109,
2110,
2111,
2108,
7760,
7759,
2107,
7741,
2074,
2029,
7841,
2028,
7842,
7843,
2017,
2018,
2030,
7814,
7783,
7782,
7815,
2031,
7817,
7816,
2073,
7740,
7637,
2196,
2197,
2195,
7662,
7664,
7663,
7636,
2216,
7611,
7610,
2215,
7635,
7634,
2214,
7665,
7666,
2138,
7713,
7712,
2137,
7739,
7714,
2136,
7609,
7711,
2175,
2176,
2177,
2164,
7693,
7692,
7691,
7694,
7386,
2796,
7057,
2785,
7058,
7059,
2776,
7060,
2797,
7032,
2818,
7016,
7033,
7036,
7035,
7034,
7015,
2775,
7130,
7132,
7131,
7133,
2714,
7159,
7158,
7129,
7083,
7082,
7081,
7084,
2735,
7086,
7085,
2766,
7014,
6890,
6912,
6911,
6913,
2909,
6914,
2908,
6889,
2954,
6861,
6860,
2953,
6888,
6887,
2939,
6915,
2898,
6988,
6987,
2852,
6989,
2827,
2828,
6990,
7385,
2864,
2885,
2886,
6935,
6936,
6962,
6961,
6960,
2865,
2702,
2526,
7330,
2525,
7331,
7332,
2512,
2513,
2527,
2543,
2553,
2554,
2542,
7310,
7309,
2541,
7291,
2511,
7358,
2474,
7359,
2473,
2472,
7384,
7383,
7357,
2500,
2501,
2502,
2499,
7356,
7355,
2489,
2510,
7290,
7191,
2647,
2655,
2646,
7219,
7221,
7220,
7190,
2684,
7160,
2700,
7188,
7189,
2668,
2669,
7222,
7223,
2588,
2589,
2590,
2570,
7289,
2568,
2569,
2701,
2591,
2608,
2627,
2628,
2607,
7260,
7259,
7258,
7261,
2003,
8497,
8499,
8498,
1410,
1409,
1392,
1408,
8496,
1433,
8469,
8468,
1432,
8495,
1430,
1431,
8467,
1391,
1354,
8557,
1353,
8558,
8580,
8582,
8581,
1355,
8555,
8532,
8531,
8556,
1356,
1357,
1358,
1390,
8466,
8364,
1513,
8385,
1512,
8386,
8388,
8387,
8363,
1542,
8339,
8338,
1541,
8362,
8361,
1532,
1505,
1500,
8447,
8446,
8445,
1455,
8465,
1453,
1454,
2002,
8444,
8414,
8413,
8412,
1485,
1470,
1483,
1484,
1469,
8583,
1177,
8771,
8770,
8772,
1156,
1154,
1155,
8746,
1208,
1209,
1210,
1207,
8745,
8744,
8743,
1211,
1153,
8821,
8823,
8822,
8824,
1110,
1108,
1109,
1130,
8799,
8798,
8797,
1134,
1131,
1132,
1133,
8796,
1212,
8625,
8648,
8647,
8665,
8666,
8668,
8667,
8624,
8602,
1324,
1325,
8603,
1293,
8623,
8604,
8669,
1258,
1217,
1218,
8722,
1216,
1213,
1214,
1215,
1326,
8721,
8689,
1248,
1249,
8690,
8693,
8692,
8691,
8694,
1553,
1849,
8041,
8040,
8057,
8058,
8060,
8059,
1850,
1870,
8002,
8001,
1869,
1851,
8024,
8023,
8000,
8061,
8099,
8101,
8100,
8102,
1774,
1772,
1773,
1794,
8080,
1817,
1818,
8081,
1795,
1796,
8082,
1819,
7999,
1974,
7909,
1973,
7910,
7911,
1957,
7912,
7888,
7868,
7867,
2001,
7869,
7887,
7886,
7885,
1944,
7937,
7975,
1903,
1904,
7976,
1892,
7978,
7977,
1554,
1905,
1930,
1931,
7938,
1929,
7961,
7960,
1924,
7962,
1771,
8267,
8269,
8268,
8270,
8271,
1610,
1611,
1626,
8240,
8239,
8238,
8241,
1627,
1637,
1638,
1651,
1609,
8311,
1576,
8312,
1575,
1567,
1555,
8337,
1583,
8308,
8307,
1596,
8309,
1584,
1585,
8310,
1597,
1652,
8148,
1730,
1731,
8167,
1719,
1717,
1718,
1739,
8145,
8127,
8126,
8146,
1740,
1741,
8147,
8168,
8169,
1686,
8200,
8199,
1677,
1653,
8237,
1667,
8125,
1690,
1708,
8171,
8170,
1707,
8197,
8196,
1697,
8198,
6859,
4238,
4236,
4237,
5552,
5553,
4220,
5554,
5531,
