INDEX,UNIQUE_INDEX
2217,0
2214,1233
8229,2700
5638,3843
8237,4678
8234,4821
8223,5088
5636,6018
8212,6781
2235,7947
2222,9998
2227,
2231,
8242,
2151,
8280,
2145,
8249,
2136,
2139,
2156,
8255,
8260,
8265,
8272,
2161,
8267,
8201,
8149,
5686,
8153,
5666,
5673,
5680,
5689,
5696,
8133,
8138,
8145,
8144,
8141,
8166,
5652,
5650,
8193,
8188,
5645,
8196,
5653,
8128,
8172,
8167,
5659,
8177,
5654,
8182,
2133,
2032,
8371,
2028,
8346,
2025,
2027,
8365,
8352,
8356,
2044,
5542,
8361,
8359,
8376,
5528,
8406,
5527,
2023,
8412,
8411,
8400,
8379,
5537,
8384,
8395,
5532,
8385,
2055,
2105,
8296,
2101,
8307,
8304,
2097,
2107,
8289,
2122,
5569,
5565,
2112,
2117,
5561,
2063,
8336,
8337,
8333,
5545,
8340,
5550,
2128,
8313,
2087,
8320,
2077,
2070,
2073,
8125,
7909,
7913,
7922,
7883,
7930,
5789,
7907,
7885,
7889,
7894,
7903,
5794,
7899,
7934,
7949,
5772,
7953,
5783,
7958,
7954,
7945,
7936,
7937,
7939,
5777,
7944,
7940,
7879,
7839,
2597,
7841,
2588,
7844,
2592,
7835,
7812,
7814,
7818,
5813,
7830,
7824,
2586,
2568,
7867,
7870,
2571,
7876,
7873,
7865,
7959,
7851,
2583,
2581,
7860,
5799,
2576,
4347,
8062,
4372,
8068,
8076,
4375,
5744,
5746,
8050,
8053,
4368,
4369,
8057,
8056,
8079,
5709,
8116,
8120,
8110,
8124,
5704,
8103,
9084,
5735,
5740,
5720,
5717,
5714,
8099,
5748,
7995,
5764,
7998,
8008,
8003,
7999,
4932,
5770,
7975,
4350,
7991,
7985,
7979,
8013,
4362,
8039,
8040,
8036,
4365,
8042,
5753,
8046,
8018,
4356,
8022,
8025,
8033,
8029,
8415,
8870,
4666,
8876,
4660,
1147,
1151,
5345,
8845,
8850,
8855,
8866,
8864,
8859,
8882,
1128,
8900,
1125,
1143,
4672,
1122,
1130,
8887,
1139,
8892,
5340,
8894,
1135,
8841,
8757,
8761,
8762,
8770,
8768,
8767,
8756,
8743,
8744,
8747,
8752,
8751,
8748,
5362,
8825,
8830,
8834,
4657,
8840,
8837,
8821,
8742,
5359,
8773,
8780,
8788,
8795,
8792,
1117,
9016,
5319,
9022,
8990,
9029,
9028,
9011,
8995,
8996,
9000,
9005,
9002,
9001,
9034,
9076,
5302,
9080,
9039,
4719,
9081,
4717,
5313,
9044,
9048,
9070,
5307,
9052,
8989,
8926,
8930,
5334,
8947,
8943,
8937,
8924,
4676,
1111,
8911,
4680,
8918,
1108,
8951,
5327,
8976,
8977,
8971,
8983,
8982,
8970,
8906,
8957,
8953,
8961,
8965,
8969,
8967,
5366,
5471,
8516,
8522,
8487,
8528,
4569,
8509,
4557,
8492,
8493,
4563,
8500,
8495,
5468,
1797,
1794,
8577,
4573,
8579,
