INDEX,UNIQUE_INDEX
3275,0
3286,2
7195,17
7203,26
7215,52
7190,83
2508,100
2570,108
2573,281
3193,282
7211,307
2578,669
2582,691
3197,840
3213,968
2585,974
3205,975
4871,981
4702,982
4707,994
4714,1000
4865,1008
7564,1010
7562,1011
7556,1026
7559,1374
4765,1396
2630,1424
4758,1470
2519,1484
2516,1485
8859,1496
2163,1512
8841,1644
8845,1993
1625,1998
1620,2012
1613,2098
1617,2105
8850,2128
8855,2129
2147,2139
2153,2150
1610,2306
2137,2493
2637,2497
8864,2943
2141,2948
3797,3004
3794,3006
3796,3011
3795,3017
7376,3024
7381,3050
1823,3052
7366,3053
1352,3054
8428,3307
7355,3367
3970,3377
3968,3378
3964,3380
2091,3387
3966,3388
1324,3392
3973,3402
7360,3406
1331,3409
3898,3469
3901,3475
1752,3529
3906,4039
2081,4298
3688,4300
3692,4325
3697,4329
1518,4333
1745,4359
1337,4419
1343,4670
1829,4671
6106,4698
8419,4731
5510,4741
5494,4750
5466,4857
5445,4867
6477,4868
6919,5168
5548,5172
5889,5293
5756,5297
6113,5333
6147,5783
5530,5792
6118,5793
5595,5795
5534,5806
5539,5960
5750,5964
2662,6000
6613,6077
6619,6078
2657,6084
5764,6086
4359,6087
5770,6088
4353,6108
1852,6233
1815,6281
1947,6955
860,7212
850,7221
857,7223
1945,7313
1925,7324
1849,7333
1944,7360
1717,7672
1677,7683
1665,7691
895,7692
1662,7694
1678,7695
3139,7705
3140,7778
3141,7958
3220,7987
1658,8124
1629,8132
1626,8139
3234,8173
903,8174
1634,8204
1654,8217
1810,8227
899,8228
1635,8278
1651,8283
1680,8366
1705,8383
1704,8490
2948,8731
3000,8801
1950,8882
1804,8899
864,8959
1723,8963
1720,8965
3003,8981
1690,8998
1684,9469
1682,9470
1691,9473
1692,9491
3010,9492
1681,9510
3020,9511
1693,9553
1695,9558
2033,9565
2503,9579
2499,9708
2426,9715
2878,9718
2525,9726
4038,9929
2862,9971
1953,9977
2424,9979
2397,9989
2396,9998
2393,
2401,
2883,
2908,
2404,
2422,
2528,
2696,
2693,
2689,
2699,
2711,
2708,
2705,
2533,
2685,
2762,
4045,
4040,
2756,
2736,
2742,
2750,
2684,
2385,
2925,
2928,
2713,
2045,
2071,
2064,
2056,
2379,
2029,
844,
2001,
1956,
2004,
2013,
841,
2009,
2016,
2923,
808,
2173,
2172,
2190,
2375,
803,
2194,
2916,
5074,
819,
5211,
986,
817,
2170,
2167,
815,
812,
1706,
1430,
1601,
1438,
1446,
1442,
1348,
940,
935,
1339,
1344,
938,
1450,
1577,
1553,
1580,
1598,
1596,
1575,
1556,
1566,
1558,
1563,
1561,
1333,
971,
1327,
1074,
1081,
1078,
1065,
991,
1004,
978,
1001,
995,
966,
1267,
1207,
1276,
1288,
1282,
1259,
1219,
1243,
1225,
1237,
1231,
1434,
66,
8790,
9215,
9509,
9073,
9844,
9055,
8782,
8160,
8130,
8323,
8310,
8330,
8156,
8302,
9059,
8393,
9272,
8285,
8232,
9459,
8672,
8450,
8086,
9008,
8922,
9258,
9345,
9337,
9352,
9334,
2463,
8009,
9358,
4721,
8014,
4725,
2457,
1213,
4342,
4344,
1089,
752,
1086,
4303,
2611,
8081,
4337,
8135,
2531,
9393,
8139,
764,
762,
758,
8142,
2536,
8004,
9403,
9239,
9082,
9023,
9017,
9085,
8208,
5067,
5063,
5071,
5075,
9089,
9013,
5243,
8948,
5316,
8219,
5236,
5220,
9007,
9004,
8952,
5229,
5059,
8179,
9235,
9195,
4857,
4854,
8169,
8184,
9244,
4852,
8174,
2345,
9093,
9252,
5008,
5026,
5014,
9098,
2336,
8190,
9189,
9177,
9183,
2616,
2982,
9759,
9757,
2988,
9763,
3026,
9685,
9818,
9766,
9771,
9679,
3885,
3028,
9643,
3893,
3890,
9649,
9671,
3880,
9662,
3877,
9657,
3049,
3301,
9635,
9970,
9962,
9967,
3573,
3434,
3565,
3309,
3558,
3551,
9956,
9823,
9951,
9820,
3056,
3088,
9826,
9885,
9828,
9877,
8113,
8118,
9627,
4129,
4301,
4163,
4169,
9518,
4128,
8092,
9524,
8129,
9531,
8089,
9512,
1082,
9507,
4290,
4297,
4293,
9472,
9501,
9478,
9496,
8084,
9487,
9560,
617,
9563,
3980,
9585,
3984,
9590,
9623,
9593,
8106,
9596,
8096,
3989,
2769,
9579,
2767,
9568,
9572,
2800,
611,
2806,
3994,
9573,
9576,
5330,
6899,
6904,
6908,
6893,
6889,
6833,
7600,
6841,
6853,
6849,
8354,
3437,
6824,
7594,
7132,
8341,
8347,
7597,
6954,
6940,
6948,
6946,
6819,
6604,
1758,
8381,
1757,
7604,
6594,
5322,
6579,
6557,
6574,
6565,
8261,
6799,
1751,
1733,
1731,
6809,
6794,
8358,
1734,
1744,
1736,
1741,
7137,
7453,
7459,
7465,
7440,
7433,
7405,
7471,
7409,
7424,
7417,
7476,
7534,
7397,
7540,
7549,
7545,
7529,
7508,
7522,
7510,
7519,
7514,
7389,
8328,
7142,
8269,
8321,
8322,
8329,
7148,
8334,
7153,
8338,
7592,
8274,
8308,
7334,
8299,
7385,
8292,
8309,
8315,
7352,
7342,
7348,
8314,
6552,
6062,
8244,
6068,
6076,
6071,
6057,
6008,
6047,
6029,
6038,
6033,
6081,
6117,
6085,
6125,
8643,
6129,
8721,
6092,
6108,
6098,
8251,
6104,
8122,
7932,
8818,
8931,
8927,
7924,
2048,
8944,
5342,
8938,
5336,
8282,
8816,
5804,
7916,
5809,
7911,
5815,
8797,
8813,
8811,
8806,
6163,
8801,
2037,
6168,
7716,
8478,
8256,
8484,
8489,
7722,
8472,
8387,
6396,
8533,
6446,
8402,
8540,
8397,
1764,
8391,
8407,
8467,
6468,
6452,
6463,
6457,
6390,
6203,
6379,
6213,
8628,
6221,
6192,
6173,
6186,
8638,
8634,
6177,
8625,
6371,
6337,
6347,
7728,
8547,
7758,
6366,
7734,
6375,
6377,
2710,
2707,
2704,
2701,
5215,
6389,
6400,
6395,
4035,
7331,
7343,
7336,
6247,
5238,
5231,
5222,
5245,
6241,
6235,
6229,
7349,
6385,
5110,
5116,
5122,
5107,
4977,
4968,
5125,
4971,
4974,
2189,
5172,
9394,
5394,
5318,
5386,
5326,
2082,
5176,
9404,
9490,
3530,
9480,
806,
4907,
4914,
4918,
4887,
4881,
4764,
2324,
4771,
4877,
4776,
2321,
2206,
2193,
2200,
4965,
4921,
2261,
2294,
2266,
2287,
2268,
2275,
5642,
7094,
7105,
7275,
6683,
6679,
6656,
7282,
6662,
6674,
6668,
7286,
7975,
6499,
7979,
7991,
7985,
7606,
8590,
7602,
1542,
7998,
1545,
6495,
9191,
7995,
4754,
9134,
9139,
9197,
5647,
9379,
6175,
9386,
6179,
6397,
8776,
8784,
6479,
6491,
6485,
6474,
6401,
6450,
6404,
6427,
6418,
2092,
3886,
3986,
3991,
4067,
3881,
3783,
3787,
3789,
3791,
4070,
2697,
2694,
2663,
4170,
4164,
4073,
2658,
4077,
4099,
4092,
3770,
3711,
3736,
3737,
3739,
3705,
3310,
3534,
3302,
3700,
3740,
3754,
3756,
3758,
3752,
3109,
3744,
3768,
3747,
3115,
3750,
3785,
4338,
4367,
780,
4352,
4320,
4358,
2494,
4333,
4364,
4349,
777,
4312,
2491,
774,
8615,
8610,
8934,
8929,
8785,
8777,
4621,
8732,
8726,
8536,
8091,
8318,
8326,
8088,
8032,
8067,
8072,
8339,
8342,
8481,
8940,
8543,
4598,
8475,
8348,
8355,
8370,
8375,
9091,
9534,
4664,
9527,
9461,
9455,
9435,
9443,
9546,
9613,
9841,
9846,
9606,
1026,
1020,
9552,
4646,
3647,
4641,
3279,
9237,
4629,
8950,
9087,
8028,
8946,
9241,
9325,
3283,
3652,
9321,
9254,
9259,
9300,
9248,
4592,
4111,
4108,
2160,
5161,
6273,
6285,
4165,
2551,
5154,
4287,
6533,
6539,
4025,
4033,
4030,
4027,
4036,
2155,
4276,
4265,
477,
2144,
4284,
4281,
4278,
4171,
4261,
4223,
4214,
4211,
5993,
4227,
2150,
5985,
580,
4354,
2537,
7287,
645,
2550,
7283,
4670,
555,
2532,
3075,
3078,
547,
7948,
7943,
7849,
7855,
4360,
6802,
2546,
3868,
6972,
6776,
3862,
2543,
6782,
6967,
6812,
6925,
6914,
957,
961,
944,
952,
946,
965,
1669,
4567,
4518,
4561,
1614,
4522,
245,
4999,
893,
822,
838,
840,
820,
829,
870,
873,
877,
865,
836,
885,
4393,
4405,
4389,
1535,
4396,
4400,
3278,
4434,
600,
4431,
4410,
4413,
3282,
898,
1547,
1544,
9739,
6101,
6095,
2496,
2418,
7296,
1214,
7300,
6283,
6271,
2911,
2918,
1679,
2414,
2277,
2270,
4451,
4586,
5621,
4580,
4582,
4588,
4584,
4595,
4619,
4627,
4635,
4618,
4579,
4596,
4601,
4590,
4502,
5690,
4456,
4458,
4453,
5627,
461,
5632,
4925,
4499,
5705,
5710,
4496,
5697,
4463,
4468,
4577,
4982,
5464,
5467,
5470,
5457,
5616,
5446,
5449,
5473,
5477,
5585,
5588,
5593,
474,
5493,
5611,
5610,
5604,
5483,
4448,
4980,
5599,
4984,
4927,
4962,
4933,
4938,
4942,
4957,
4985,
5093,
5097,
5101,
4986,
5090,
5079,
5081,
5084,
5086,
4201,
713,
2926,
2929,
4446,
2843,
2830,
2834,
2837,
2840,
3276,
3414,
3417,
3421,
3277,
677,
3281,
3285,
3287,
3288,
2439,
1638,
1641,
1643,
2437,
1429,
1413,
1417,
1421,
1425,
1646,
1937,
1940,
1943,
1671,
1934,
1673,
1676,
1929,
1932,
3425,
4095,
4101,
4193,
3428,
4089,
622,
3972,
3975,
4085,
4197,
4252,
4386,
4443,
5716,
4249,
4203,
4205,
4238,
4245,
630,
3742,
642,
641,
631,
3738,
3431,
3520,
3733,
3735,
639,
3817,
3824,
634,
638,
3810,
636,
3799,
3802,
3806,
455,
8499,
8506,
8513,
8487,
8482,
8362,
8521,
8366,
8377,
8372,
8527,
8682,
196,
8683,
8867,
8687,
8678,
8667,
8677,
8668,
8674,
8673,
201,
257,
8871,
254,
8024,
251,
7884,
7868,
7880,
7871,
7877,
7874,
8027,
8289,
8031,
8296,
205,
8304,
8280,
8035,
8272,
8038,
8267,
8107,
8877,
9694,
5724,
9699,
9780,
9776,
9691,
9539,
9578,
9543,
9554,
9549,
9785,
9854,
9791,
9892,
9913,
9905,
9850,
9801,
9845,
9811,
9840,
9837,
9330,
9074,
9326,
9078,
9131,
9128,
9066,
8883,
9060,
8888,
9056,
8893,
9136,
9310,
9142,
9315,
9323,
9319,
9305,
9146,
9298,
9150,
9262,
9257,
7690,
6549,
374,
6595,
6545,
6500,
6481,
6605,
6487,
6496,
6492,
370,
6723,
6476,
6727,
361,
6730,
6720,
6659,
6716,
367,
6671,
6665,
6251,
5983,
6786,
5990,
6001,
5998,
5981,
5731,
5980,
458,
5975,
1409,
6005,
6228,
6010,
6234,
6246,
6240,
6030,
6012,
6026,
6014,
6020,
6018,
6789,
7613,
7686,
7617,
7623,
7619,
7609,
7588,
275,
7589,
7591,
7590,
7625,
7675,
7629,
7680,
7685,
7681,
7674,
7633,
7669,
7663,
7668,
7664,
7404,
6939,
7396,
6945,
6959,
6953,
6848,
355,
352,
6829,
6840,
6832,
7033,
7304,
7038,
