INDEX,UNIQUE_INDEX
1953,0
1950,3
1956,10
1777,15
1786,16
1781,19
1924,20
1928,21
1926,22
1927,25
336,27
331,28
338,36
334,39
326,40
1790,46
1945,50
1944,56
1947,57
1885,60
1888,61
1872,108
1677,119
1678,125
1680,131
1693,132
1695,135
328,147
34,149
38,151
50,157
42,158
29,211
1675,215
1134,221
1672,224
273,226
1849,246
1852,249
292,259
1979,282
1983,285
1976,292
1974,297
1946,309
1949,320
16,335
12,337
2,382
7,384
1823,387
600,389
1829,394
1081,406
1078,410
1074,413
1065,416
1667,418
1670,428
1668,429
1025,434
1573,456
1571,460
1615,471
1563,474
1566,494
1570,499
1621,500
1561,504
1919,506
96,507
99,536
1922,538
1952,541
102,546
1499,547
91,550
1085,563
422,564
426,575
1000,576
648,597
626,605
399,620
363,621
1493,626
1496,635
1490,648
1487,664
357,673
1484,674
1955,678
1791,683
1886,684
1889,694
1905,714
1787,718
1878,719
1858,722
1863,724
1851,728
1783,736
1870,737
1866,738
66,745
1773,749
1914,750
86,759
1808,775
1558,782
1838,784
1813,786
1845,797
1556,798
1553,802
675,817
1013,818
512,826
518,837
470,839
465,841
1916,855
1910,856
781,857
424,859
1758,861
1127,862
901,863
529,867
535,868
1764,872
129,878
1656,879
1965,882
1960,886
1981,889
1073,901
1631,913
671,919
44,923
1985,930
1064,931
1978,933
52,942
774,945
780,946
777,956
806,958
184,962
199,975
403,976
1860,984
1057,990
1855,991
643,993
650,1007
654,1016
1303,1018
474,1020
228,1021
920,1024
924,1038
181,1041
218,1049
187,1054
778,1056
789,1067
214,1068
785,1072
185,1074
775,1077
1745,1078
0,1080
782,1100
914,1103
3,1112
1514,1114
1516,1129
1519,1133
1512,1134
304,1147
1752,1153
324,1154
461,1162
1520,1170
290,1172
21,1182
210,1183
299,1184
1921,1185
1567,1201
1569,1202
1523,1204
17,1215
455,1218
240,1226
8,1227
457,1230
308,1231
234,1243
458,1249
13,1258
90,1265
316,1266
1213,1268
1297,1275
247,1279
1148,1285
1152,1289
95,1299
1144,1302
1466,1310
680,1313
678,1329
1463,1330
1160,1337
255,1343
252,1344
258,1345
676,1349
673,1356
1175,1358
1164,1361
1169,1367
1153,1381
1140,1382
1053,1383
1046,1384
1455,1385
1043,1386
63,1393
59,1405
68,1407
72,1410
1458,1413
1460,1415
1049,1426
979,1431
972,1434
1038,1439
190,1441
192,1445
967,1448
987,1451
1032,1452
194,1457
1941,1458
1935,1460
1930,1461
569,1468
566,1471
609,1478
368,1480
433,1485
615,1486
621,1489
431,1490
571,1493
372,1498
1815,1499
1810,1502
356,1516
998,1519
