INDEX,UNIQUE_INDEX
1312,0
1299,7
1508,13
1323,18
807,125
1305,142
1293,143
899,146
903,147
940,148
935,160
895,161
938,163
1636,165
1630,166
1632,177
1627,179
1628,226
1548,232
1353,238
1359,240
1374,249
1367,250
1318,260
1567,262
1313,264
1551,268
1550,274
1307,339
1386,363
750,391
1489,406
1478,407
1481,409
1483,411
1492,452
218,458
210,497
1475,500
1380,502
1495,504
1498,505
1203,507
865,641
873,703
870,705
877,707
885,709
914,716
893,720
840,726
820,829
759,889
756,903
822,936
838,1039
836,1130
829,1132
920,1152
924,1165
1185,1175
1178,1177
1052,1182
1192,1244
1294,1262
1569,1263
1197,1266
1300,1267
1048,1270
952,1273
946,1274
944,1275
957,1281
1042,1283
965,1288
961,1307
1045,1370
1486,1382
1775,1418
1707,1419
1699,1425
1966,1463
1709,1481
1771,1505
1570,1506
1698,1514
1697,1524
214,1527
1649,1528
1969,1529
1686,1532
1689,1533
1688,1535
1961,1543
1906,1544
1917,1549
1911,1577
1920,1585
1923,1589
1939,1590
1936,1596
1903,1600
1788,1601
1779,1796
1942,1837
1792,1838
1890,1839
1887,1857
1883,1878
1972,1905
1687,1915
1612,1931
1609,1933
1616,1947
1644,1948
1975,1953
1594,1974
1571,1976
1573,1978
1583,1988
1973,1989
1590,1998
1586,
1592,
1647,
1562,
1557,
1777,
783,
1781,
1554,
786,
1559,
1786,
1790,
1564,
1727,
776,
779,
1722,
1719,
1725,
32,
1555,
868,
1565,
1614,
478,
844,
850,
857,
860,
817,
819,
812,
815,
841,
864,
808,
803,
1531,
1560,
1579,
1568,
1631,
1656,
1965,
1960,
755,
1156,
312,
320,
1860,
628,
1803,
1855,
1800,
1640,
1216,
571,
569,
440,
566,
435,
574,
255,
655,
658,
663,
576,
651,
258,
252,
244,
238,
1404,
1452,
668,
1448,
1440,
1444,
1653,
1685,
1657,
1683,
1660,
1664,
1436,
1003,
1432,
1002,
996,
998,
1005,
1407,
1391,
1401,
1394,
1398,
999,
215,
211,
202,
219,
197,
206,
991,
995,
971,
966,
986,
978,
1805,
1811,
1798,
1802,
1795,
1816,
1832,
1826,
646,
1029,
1249,
1023,
1861,
753,
937,
1856,
581,
1702,
1200,
1181,
1195,
1348,
1333,
1206,
1188,
1339,
1327,
1344,
1063,
1072,
274,
649,
950,
888,
955,
880,
1028,
517,
511,
1071,
1062,
1022,
359,
468,
381,
856,
711,
666,
365,
1026,
1764,
473,
1069,
311,
1758,
661,
329,
834,
691,
1121,
827,
685,
95,
881,
1020,
889,
319,
705,
1116,
613,
619,
1752,
1060,
976,
528,
242,
1275,
52,
249,
1215,
510,
516,
964,
984,
534,
551,
766,
951,
559,
90,
234,
960,
956,
771,
228,
1266,
1173,
1745,
1955,
806,
496,
489,
388,
1952,
44,
1167,
849,
27,
55,
100,
87,
142,
123,
92,
1847,
1753,
47,
103,
40,
518,
31,
512,
1746,
119,
1840,
133,
97,
138,
997,
36,
84,
1882,
389,
1876,
382,
648,
710,
490,
1767,
1823,
1716,
296,
497,
1990,
1813,
1986,
1808,
793,
1829,
1761,
1710,
704,
626,
1714,
832,
1715,
825,
1708,
1712,
1797,
1794,
141,
160,
1801,
167,
164,
118,
171,
132,
127,
122,
174,
137,
178,
713,
183,
277,
429,
333,
1142,
814,
176,
524,
165,
161,
521,
1146,
124,
1093,
134,
1095,
805,
1097,
1138,
180,
1090,
1087,
143,
1083,
1080,
128,
542,
168,
1059,
811,
1736,
139,
1734,
120,
1733,
1731,
1056,
1132,
531,
1150,
1068,
540,
1077,
537,
172,
462,
459,
397,
405,
403,
371,
1409,
1822,
1770,
1429,
59,
1425,
29,
1421,
1413,
25,
1417,
1819,
63,
1613,
1610,
7,
1617,
1625,
1620,
2,
50,
1828,
38,
1763,
68,
1743,
16,
12,
1756,
1842,
1528,
1530,
1529,
1750,
42,
34,
1740,
1835,
72,
1985,
1978,
1981,
652,
585,
617,
611,
675,
842,
861,
155,
1643,
676,
110,
153,
1783,
191,
62,
1646,
1641,
58,
673,
1638,
189,
193,
1593,
670,
678,
902,
587,
905,
596,
1700,
810,
590,
1674,
897,
816,
593,
813,
818,
114,
804,
112,
71,
577,
1589,
157,
182,
680,
78,
911,
583,
908,
1773,
186,
67,
1585,
1817,
336,
338,
1848,
1922,
334,
1851,
1870,
21,
1866,
1858,
1863,
1017,
1841,
1014,
456,
460,
285,
368,
331,
8,
326,
1485,
1009,
1488,
116,
353,
17,
1497,
356,
1914,
372,
362,
108,
1787,
1905,
1889,
404,
1919,
406,
1491,
407,
1878,
13,
1886,
1494,
989,
401,
398,
993,
506,
508,
514,
463,
1545,
106,
146,
973,
501,
969,
1426,
225,
104,
149,
1414,
222,
231,
1422,
1791,
236,
1418,
235,
504,
1827,
3,
280,
469,
1542,
464,
282,
1833,
1820,
981,
278,
1410,
271,
1184,
1191,
772,
232,
693,
364,
283,
1217,
358,
226,
286,
1168,
1265,
702,
327,
113,
828,
687,
745,
1174,
1274,
240,
835,
247,
708,
748,
1061,
1021,
767,
975,
1027,
863,
79,
494,
509,
487,
884,
612,
618,
892,
983,
471,
466,
73,
411,
949,
548,
954,
846,
556,
1070,
109,
853,
959,
963,
919,
515,
529,
199,
859,
535,
936,
1696,
1694,
1765,
1759,
129,
188,
854,
869,
833,
457,
847,
826,
1326,
1974,
1979,
1976,
1983,
1943,
1937,
1940,
1934,
1929,
1932,
1603,
1324,
96,
1049,
1053,
945,
948,
1602,
953,
1597,
1043,
1046,
1343,
962,
958,
86,
102,
1473,
1129,
1599,
1471,
1537,
1476,
1482,
1534,
1607,
1038,
1479,
99,
1469,
1337,
91,
1533,
1032,
1331,
1123,
1606,
1126,
1608,
1540,
1532,
1605,
56,
195,
451,
447,
454,
520,
288,
1718,
443,
441,
620,
421,
46,
523,
425,
436,
217,
39,
428,
1721,
601,
1729,
1728,
48,
605,
614,
200,
213,
608,
30,
536,
1724,
530,
1726,
539,
204,
26,
541,
35,
1352,
343,
302,
54,
308,
1661,
1652,
340,
306,
304,
1666,
1655,
290,
324,
322,
209,
316,
1663,
314,
297,
1659,
299,
1461,
1484,
1330,
1180,
1187,
1267,
1427,
1464,
1467,
1434,
1430,
1362,
1383,
1259,
1309,
1446,
1505,
1496,
1493,
1507,
1506,
1225,
1499,
1453,
1450,
1219,
1320,
1205,
1456,
1487,
1194,
1237,
1199,
1243,
1207,
1442,
1315,
1370,
1509,
1490,
1510,
1231,
1511,
1438,
1296,
1276,
1356,
1347,
1288,
1377,
1389,
1411,
1302,
1282,
1351,
1342,
1423,
1415,
1336,
1419,
1147,
1135,
1196,
1130,
1177,
1332,
1338,
1190,
1143,
1151,
1325,
1202,
1139,
1183,
1292,
1169,
1420,
1286,
1228,
1246,
1280,
1388,
1303,
1412,
1271,
1424,
1240,
1408,
1297,
1263,
1310,
1153,
1376,
1369,
1160,
1428,
1382,
1355,
1321,
1210,
1222,
1175,
1234,
1316,
1361,
1164,
1416,
719,
394,
1054,
177,
437,
1711,
444,
140,
448,
1535,
830,
1039,
1033,
823,
1518,
130,
1989,
1091,
1113,
66,
1115,
337,
339,
1104,
341,
1106,
1107,
796,
221,
1158,
1162,
1958,
300,
1120,
725,
335,
1963,
1931,
800,
1075,
1913,
1079,
1968,
184,
1213,
1066,
1908,
230,
1679,
1098,
1100,
1201,
224,
344,
349,
1102,
1669,
345,
347,
688,
125,
1814,
502,
1957,
525,
970,
173,
599,
1768,
603,
898,
974,
1547,
1971,
760,
1782,
994,
152,
947,
922,
549,
135,
170,
1251,
557,
1809,
162,
607,
1272,
1762,
875,
166,
245,
610,
990,
1830,
1824,
616,
604,
1544,
982,
481,
483,
203,
653,
82,
754,
1778,
259,
85,
269,
1384,
101,
1084,
69,
60,
1094,
1088,
802,
111,
1092,
1774,
216,
98,
33,
1128,
1916,
49,
1264,
212,
0,
1108,
107,
64,
1258,
1363,
1117,
1776,
1111,
10,
76,
644,
1125,
1122,
1273,
5,
1772,
28,
1539,
23,
1874,
1230,
1538,
664,
1880,
1236,
263,
656,
19,
1224,
446,
41,
453,
1281,
105,
262,
1536,
681,
208,
1378,
1287,
422,
426,
37,
1242,
1371,
659,
265,
1910,
117,
1789,
15,
267,
1784,
198,
1793,
1780,
679,
450,
1212,
115,
1785,
88,
93,
94,
89,
1949,
1235,
934,
1946,
1241,
491,
498,
921,
233,
1223,
1211,
580,
918,
227,
931,
925,
915,
1229,
928,
1247,
1474,
1477,
1433,
1470,
1218,
80,
1449,
74,
1441,
1480,
1472,
1445,
1437,
1379,
1248,
1252,
1250,
1254,
1256,
1357,
1385,
1365,
1372,
467,
472,
1987,
43,
51,
1991,
328,
1967,
1970,
1962,
1037,
1572,
568,
967,
1574,
1581,
1578,
1576,
1582,
289,
768,
1872,
1885,
1845,
987,
1838,
992,
979,
600,
722,
718,
1701,
727,
773,
732,
730,
1604,
1600,
882,
1584,
890,
1888,
1587,
1595,
1591,
1588,
163,
972,
1904,
323,
1912,
1134,
1124,
377,
375,
363,
357,
1114,
1119,
1110,
1127,
1918,
1921,
1907,
303,
384,
298,
315,
307,
1073,
383,
848,
1964,
686,
390,
855,
1992,
1988,
977,
495,
488,
313,
321,
1959,
985,
692,
1064,
207,
699,
788,
706,
740,
410,
684,
690,
1747,
1754,
1099,
781,
1364,
677,
758,
752,
762,
764,
342,
883,
891,
1041,
1035,
1051,
1047,
1044,
1392,
735,
438,
1402,
449,
926,
923,
1396,
929,
1915,
916,
932,
442,
445,
809,
452,
1405,
1399,
1909,
798,
714,
701,
707,
700,
640,
635,
637,
716,
747,
775,
1455,
744,
734,
738,
741,
782,
633,
546,
433,
544,
431,
430,
423,
427,
554,
589,
592,
595,
586,
562,
564,
579,
623,
778,
1137,
1131,
1076,
785,
1058,
1067,
1141,
1458,
1460,
1463,
1145,
1149,
1466,
1055,
852,
858,
144,
158,
845,
789,
792,
795,
843,
862,
150,
156,
154,
147,
1899,
1902,
1896,
1502,
1500,
1501,
1503,
1504,
1109,
1112,
1118,
721,
126,
131,
14,
1891,
18,
1877,
1884,
654,
657,
325,
9,
330,
332,
662,
667,
136,
650,
480,
475,
485,
492,
22,
499,
470,
465,
1373,
413,
1869,
415,
420,
643,
1871,
1358,
1366,
121,
4,
624,
1025,
1012,
1007,
1016,
1019,
1031,
1024,
698,
761,
1730,
1732,
1018,
769,
641,
1633,
763,
169,
1096,
1030,
1738,
625,
493,
486,
622,
591,
594,
597,
484,
482,
638,
757,
1737,
1735,
1015,
476,
630,
1006,
1011,
694,
669,
672,
674,
751,
696,
1997,
1935,
1938,
723,
1933,
1930,
1941,
728,
606,
1703,
602,
1036,
598,
609,
621,
527,
615,
533,
1739,
717,
695,
683,
689,
1769,
682,
1755,
1998,
1748,
1749,
1994,
647,
1742,
1868,
391,
393,
1144,
1152,
1148,
712,
697,
715,
396,
851,
709,
412,
1621,
1618,
1611,
1623,
1615,
703,
1260,
1268,
1322,
1311,
1317,
1277,
1289,
1304,
1298,
1283,
1525,
416,
1522,
1010,
901,
1834,
1821,
1818,
939,
1895,
1893,
1552,
1543,
1546,
1549,
1541,
1013,
1008,
1050,
1133,
272,
261,
479,
53,
45,
352,
729,
1650,
1760,
1648,
726,
309,
1901,
1766,
374,
1898,
370,
355,
1637,
1639,
1642,
629,
720,
291,
317,
367,
305,
399,
361,
301,
731,
724,
1645,
379,
770,
1085,
765,
645,
1844,
386,
1837,
318,
310,
547,
555,
1057,
1004,
1001,
1074,
1065,
1081,
1078,
980,
1171,
968,
988,
477,
348,
1723,
350,
196,
1720,
1925,
295,
11,
346,
1717,
351,
369,
373,
1996,
366,
360,
220,
223,
1993,
354,
1693,
229,
275,
6,
1704,
264,
260,
1977,
1705,
254,
1,
257,
1956,
1980,
251,
1695,
1944,
1984,
400,
1706,
1945,
1953,
1947,
1950,
1873,
545,
24,
553,
543,
538,
1804,
561,
522,
532,
526,
563,
578,
1879,
201,
573,
575,
570,
565,
584,
205,
567,
588,
1810,
417,
418,
419,
20,
414,
402,
1852,
408,
572,
409,
1849,
474,
505,
1815,
503,
500,
1692,
432,
461,
434,
458,
455,
1690,
148,
1553,
151,
1556,
1558,
1561,
83,
145,
1691,
1515,
1513,
1521,
1527,
1526,
1524,
185,
1563,
70,
1598,
1596,
175,
1601,
181,
179,
159,
909,
77,
912,
906,
1580,
1577,
1575,
1566,
1082,
1400,
1406,
1403,
1290,
1284,
1269,
1278,
1329,
1390,
1346,
1350,
1341,
1397,
1335,
1393,
1086,
1261,
1176,
1165,
1170,
1161,
1157,
1089,
1154,
1209,
1245,
1253,
1255,
1239,
1221,
1227,
1233,
1257,
1517,
1684,
57,
780,
1675,
190,
1678,
192,
1654,
1629,
777,
1634,
1681,
1682,
61,
1680,
1635,
774,
1651,
746,
65,
1626,
1677,
1658,
1662,
1665,
733,
749,
1670,
1672,
187,
736,
742,
194,
1667,
1668,
739,
639,
642,
270,
784,
287,
276,
1034,
1512,
1040,
1864,
799,
1867,
1514,
268,
1520,
279,
281,
1519,
1516,
284,
1523,
797,
519,
246,
631,
794,
787,
253,
634,
256,
801,
1812,
790,
266,
239,
636,
237,
791,
1807,
507,
513,
1000,
1182,
1431,
1387,
1220,
1447,
1226,
1354,
1368,
1360,
1381,
1375,
1443,
1451,
1244,
1238,
1439,
1232,
1435,
1208,
1995,
824,
867,
1214,
831,
839,
821,
837,
627,
294,
876,
1622,
941,
879,
1624,
1619,
439,
942,
872,
887,
943,
1894,
1926,
1741,
1892,
1897,
1927,
1713,
1799,
1796,
1757,
1924,
1900,
1806,
1928,
1951,
1857,
1948,
1862,
1865,
1751,
1954,
1853,
1744,
743,
737,
1850,
1982,
1825,
1454,
1465,
1457,
1881,
1875,
1468,
1831,
1459,
1462,
243,
250,
1163,
392,
1172,
395,
1166,
1155,
81,
75,
1159,
552,
376,
378,
385,
560,
1101,
1103,
927,
933,
930,
660,
248,
1136,
558,
632,
550,
241,
1395,
665,
1140,
1306,
917,
671,
1839,
273,
1846,
293,
907,
896,
894,
1671,
1105,
910,
1676,
913,
900,
904,
886,
878,
424,
866,
292,
582,
871,
1836,
1843,
1673,
874,
387,
380,
1859,
1854,
1262,
1279,
1319,
1291,
1295,
1314,
1301,
1308,
1285,
1270,
1189,
1334,
1186,
1179,
1349,
1328,
1340,
1198,
1193,
1345,
1204,
