INDEX,UNIQUE_INDEX
1311,0
1262,10
1279,20
1304,44
1317,48
1298,52
1291,62
1270,65
1285,67
1322,77
1263,81
1271,93
1314,94
1280,109
1286,110
1301,112
1292,122
1308,132
1319,142
1295,144
1496,155
1499,161
1383,171
1447,173
1443,244
1389,248
1377,263
1493,265
1232,277
1439,280
1490,282
1451,288
1431,292
1226,295
1220,296
1435,297
1244,302
1487,304
1238,310
1356,313
1370,314
1208,324
1484,325
1362,328
1889,330
1870,332
1878,334
1886,338
1866,342
1863,343
1851,367
1858,371
1320,373
1302,376
1277,378
1283,382
1309,386
1289,388
1315,394
1260,398
1296,401
1268,403
906,404
909,406
912,407
611,409
617,412
1197,413
1185,415
1333,420
1348,423
1203,425
1327,427
1192,429
1344,431
1178,441
1339,443
1914,445
1922,450
1919,484
1905,486
1222,489
1210,492
1381,493
1360,494
1240,496
1228,498
1234,500
1368,505
1387,506
1246,516
1375,518
1354,519
580,521
963,523
494,525
1028,526
1265,529
517,563
199,564
1062,568
487,570
511,572
247,574
1071,576
1274,590
1022,595
959,597
240,605
806,607
693,609
687,611
1336,614
1204,615
1193,617
1179,618
1186,626
1351,627
1342,629
1198,631
1330,633
1347,634
1188,636
1328,638
1340,644
1345,646
1181,649
1349,654
1200,655
1195,656
1206,665
1334,667
1773,669
1787,671
1791,677
1974,679
1983,682
1765,683
1759,684
1783,685
1976,687
1979,689
1830,690
1824,692
1667,700
1668,724
1980,728
1981,729
1985,731
1977,733
1672,745
1675,751
1978,753
1984,762
1670,763
1140,765
558,768
1158,770
1162,777
550,781
1136,782
1419,784
1415,799
1427,831
1411,836
1169,840
1175,841
1160,853
1153,854
1164,860
1423,862
1880,864
1874,868
364,869
109,875
556,877
327,879
956,887
1275,888
113,889
863,891
1070,892
1215,905
666,907
846,918
983,919
496,920
766,922
381,924
1173,925
283,945
509,950
95,955
691,978
311,979
232,989
319,991
748,993
358,997
613,1003
708,1007
226,1009
1061,1021
702,1022
286,1023
73,1025
661,1027
489,1028
471,1031
951,1033
52,1034
853,1036
534,1040
44,1045
528,1051
1027,1053
242,1154
745,1156
1021,1158
79,1161
90,1162
1266,1164
249,1172
936,1189
771,1190
960,1191
685,1193
548,1205
1167,1207
619,1208
889,1237
466,1239
1121,1240
515,1241
1191,1246
1184,1248
975,1250
859,1253
388,1254
827,1264
1116,1266
881,1268
964,1273
834,1285
386,1287
379,1290
765,1302
