INDEX,UNIQUE_INDEX
1471,0
1979,1980
1088,
1373,
1756,
1607,
1873,
1550,
1781,
1862,
1236,
338,
451,
1358,
141,
1974,
730,
1926,
265,
1870,
1331,
648,
1487,
1885,
1928,
334,
269,
1777,
1366,
9,
1790,
171,
1659,
1763,
111,
783,
538,
18,
526,
98,
1476,
727,
1092,
1721,
442,
263,
1894,
1551,
1892,
1803,
1548,
1897,
1708,
1305,
14,
867,
1957,
1966,
1273,
1741,
1473,
1703,
1030,
607,
402,
1191,
1461,
1704,
237,
400,
1744,
1184,
1706,
1850,
37,
490,
137,
1877,
715,
1908,
1795,
492,
624,
485,
1167,
1920,
349,
1212,
1671,
1293,
572,
1242,
132,
1924,
522,
174,
1728,
325,
101,
1479,
1660,
532,
1726,
1605,
1770,
326,
1956,
1454,
729,
872,
753,
475,
1792,
384,
1337,
85,
32,
530,
332,
88,
259,
93,
1094,
519,
473,
105,
577,
1609,
280,
514,
3,
115,
282,
24,
816,
1050,
911,
80,
1046,
194,
1943,
625,
1180,
1733,
271,
1165,
1317,
535,
1815,
812,
508,
371,
1761,
1259,
117,
446,
1195,
1665,
1730,
698,
466,
543,
147,
348,
1161,
1107,
819,
546,
1612,
279,
1176,
1252,
506,
1149,
583,
1157,
1596,
1086,
1588,
285,
551,
241,
802,
444,
529,
388,
1774,
650,
734,
505,
1017,
501,
372,
617,
507,
1254,
1616,
1256,
1210,
559,
353,
1953,
1663,
1661,
1743,
1857,
1950,
1900,
1652,
908,
1426,
744,
671,
178,
1655,
804,
148,
1784,
817,
897,
1837,
68,
654,
1598,
1204,
815,
1601,
1826,
1154,
581,
1526,
513,
1222,
591,
196,
1603,
107,
327,
643,
611,
364,
260,
1778,
222,
1272,
808,
1120,
1947,
160,
1670,
1496,
1976,
1484,
520,
454,
953,
209,
1666,
267,
1823,
1672,
523,
1662,
1493,
958,
1927,
1791,
170,
1965,
1866,
262,
1675,
336,
1878,
1889,
1657,
1482,
173,
1695,
1718,
1053,
675,
807,
1964,
1219,
1693,
109,
777,
1759,
113,
1858,
1207,
901,
1960,
1324,
162,
421,
1664,
273,
164,
331,
1653,
16,
38,
1922,
428,
655,
330,
167,
166,
718,
1343,
1013,
240,
1469,
1888,
1764,
806,
814,
1758,
811,
1667,
177,
1600,
1886,
291,
138,
1117,
434,
301,
305,
119,
860,
1074,
1065,
1532,
435,
52,
1668,
122,
447,
962,
1855,
651,
1537,
247,
924,
440,
1872,
118,
1787,
1983,
1352,
213,
914,
199,
1729,
340,
1615,
127,
184,
441,
1123,
722,
1444,
44,
343,
470,
1945,
1621,
1797,
134,
776,
1230,
1224,
1863,
955,
1249,
518,
779,
230,
480,
341,
1099,
375,
1914,
129,
1952,
1680,
1573,
73,
1571,
661,
1140,
1677,
7,
774,
228,
399,
1678,
663,
1071,
1115,
912,
396,
786,
1010,
703,
1716,
393,
1853,
709,
1264,
937,
344,
1543,
1456,
686,
692,
1266,
674,
1757,
345,
1546,
923,
445,
1312,
499,
1997,
1972,
1776,
4,
1910,
1310,
1483,
780,
42,
1495,
1813,
1783,
1243,
29,
1492,
1750,
512,
51,
1045,
50,
805,
210,
1745,
1765,
12,
1959,
424,
1533,
1838,
477,
1316,
1808,
1752,
1042,
1946,
1486,
1955,
443,
1126,
292,
90,
436,
1153,
948,
79,
1570,
666,
1916,
234,
658,
1860,
1175,
1801,
1540,
1604,
1985,
1794,
66,
1303,
1297,
600,
357,
363,
1169,
1164,
1025,
236,
472,
871,
874,
1760,
380,
933,
789,
1052,
1394,
387,
92,
1846,
1557,
350,
1413,
1182,
1467,
1148,
998,
825,
1268,
1814,
996,
1949,
1048,
1861,
1389,
1004,
