INDEX,UNIQUE_INDEX
1308,0
1307,279
1309,281
1313,282
1311,312
1304,567
1295,600
1296,604
1298,746
1294,771
1301,992
1300,993
1314,997
1329,1052
1328,1057
1330,1060
1334,1064
1333,1116
1327,1123
1317,1128
1318,1132
1319,1142
1315,1144
1322,1150
1320,1164
1292,1169
1268,1206
1267,1216
1269,1304
1271,1437
1270,1443
1263,1445
1246,1503
1259,1521
1260,1548
1276,1570
1262,1571
1261,1588
1277,1756
1286,1766
1288,1790
1289,1994
1245,1998
1291,
1290,
1285,
1278,
1279,
1280,
1284,
1283,
1282,
1335,
1427,
1423,
1430,
1434,
1431,
1419,
1386,
1387,
1389,
1383,
1415,
1411,
1435,
218,
1451,
1475,
214,
1478,
1450,
1439,
1442,
1443,
1438,
1447,
1446,
1381,
1347,
1346,
1348,
1350,
1349,
1345,
1339,
1340,
1341,
1351,
1344,
1342,
1353,
1370,
1374,
1375,
1336,
1380,
1377,
1368,
1354,
1356,
1359,
1367,
1362,
1360,
1244,
938,
935,
940,
946,
944,
924,
895,
899,
903,
893,
920,
914,
952,
995,
991,
1001,
1042,
1004,
986,
961,
965,
966,
957,
978,
971,
885,
817,
815,
819,
822,
820,
812,
750,
756,
759,
829,
808,
803,
836,
864,
865,
870,
1045,
877,
873,
860,
838,
840,
841,
857,
850,
844,
1048,
1210,
1209,
1219,
1221,
1220,
1208,
1200,
1203,
1204,
1222,
1207,
1206,
1225,
1237,
1238,
1239,
1481,
1243,
1240,
1234,
1226,
1227,
1228,
1233,
1232,
1231,
1198,
1157,
1154,
1160,
1164,
1161,
1153,
1052,
1065,
1074,
1165,
1081,
1078,
1169,
1186,
1188,
1192,
1197,
1195,
1193,
1185,
1170,
1175,
1176,
1181,
1179,
1178,
1302,
1575,
1598,
1601,
1596,
1956,
1577,
1580,
1626,
1496,
1495,
1654,
1651,
1635,
1629,
1634,
1566,
1513,
1944,
1925,
1950,
1515,
1947,
1945,
1953,
1498,
1561,
1563,
1499,
1553,
1556,
1558,
1517,
1658,
1706,
1705,
1815,
1704,
1695,
1486,
1693,
1717,
1804,
210,
1483,
1484,
1720,
1810,
1723,
1852,
1487,
1665,
1677,
1678,
1662,
1493,
1849,
1492,
1692,
1490,
1680,
1690,
1691,
1684,
1681,
1489,
1682,
600,
898,
1251,
